place,Top5,무료,혜택,친환경,추천,식재료,제주산,에너지,환경,비건
오시록헌 PM,"['숙소', '산다', '송승헌', '방송', '기전']",0,0,0,0,0,0,0,0,0
조이빌리조트,"['숙소', '조이', '느낌', '천국', '함덕']",0,0,0,0,0,0,0,0,0
애월파라다이스,"['힐링', '리뷰', '걱정', '시골', '돈사']",0,0,0,0,0,0,0,0,0
사조리조트 제주지점,"['성비', '청소', '전기장', '드라이', '대여']",0,0,0,0,0,0,0,0,0
송당송당펜션&리조트,"['성비', '친절', '위치', '가격', '건물']",0,0,0,1,0,0,0,0,0
블루펄리조트,"['바다', '전망', '사장', '서비스', '친절']",0,0,0,0,0,0,0,0,0
더시에나리조트 (2023년5월예정),[''],0,0,0,0,0,0,0,0,0
제주캐슬마운틴리조트,[''],0,0,0,0,0,0,0,0,0
인피니티리조트,"['직원', '친절', '침구', '대박', '참고']",0,0,0,1,0,0,0,0,0
벙커호텔앤리조트,"['기대', '만족', '우도', '숙소', '예약']",0,0,0,0,0,0,0,0,0
벨라비타,[''],0,0,0,0,0,0,0,0,0
함덕리조텔,[''],0,0,0,0,0,0,0,0,0
