place,Top5,무료,혜택,친환경,추천,식재료,제주산,에너지,환경,비건,야경
피플카페,"['카페', '바다', '커피', '친절', '경치']",0,0,0,1,0,0,0,0,0,0
카페원웨이,"['커피', '카페', '사장', '친절', '최고']",0,0,0,0,0,0,0,0,0,0
걸어가는늑대들 전이수갤러리,"['작가', '그림', '작품', '이수', '전시']",1,0,0,8,0,0,0,0,0,0
하우스레서피 당근케이크,"['당근', '케이크', '가격', '케익', '느낌']",0,0,0,1,0,0,0,0,0,0
애월후식,"['수플레', '커피', '사장', '카페', '친절']",0,0,0,0,0,0,0,0,0,0
레이지박스,"['당근', '쥬스', '케익', '경치', '에이드']",0,0,0,0,0,0,0,0,0,0
효은양갱,"['한라봉', '양갱', '느낌', '선물', '식혜']",0,0,0,2,0,0,0,0,0,0
리유니온,"['디저트', '딸기', '케이크', '사장', '스콘']",0,0,0,2,0,0,0,0,0,0
귤당리,"['친절', '음료', '사장', '당근', '제주']",0,0,0,3,0,0,0,0,0,0
너는파라다이스길리,"['당근', '친절', '카페', '사장', '크림']",0,0,0,5,0,0,0,0,0,0
그루브,"['카페', '커피', '건물', '인테리어', '분위기']",0,0,0,5,0,0,0,0,0,0
몽그레 월정리점,"['선물', '보리', '사진', '카페', '디저트']",0,0,0,4,0,0,0,0,0,0
감저,"['카페', '공간', '커피', '분위기', '사장']",0,0,0,5,0,0,0,0,0,0
메이비,"['분위기', '이중섭', '거리', '와인', '최고']",0,0,0,1,0,0,0,0,0,0
카페 제주동네,"['당근', '주스', '빙수', '케이크', '카페']",0,0,0,0,0,0,0,0,0,0
헬로남생이,"['바다', '커피', '남생이', '카페', '제주']",0,0,0,0,0,0,0,0,0,0
탐앤탐스 신제주점,"['음식', '말씀', '기분', '주문', '친절']",0,0,0,0,0,0,0,0,0,0
밀팟제주,"['빙수', '팥빙수', '우유', '가격', '최고']",0,0,0,0,0,0,0,0,0,0
브릭스제주,"['팬케이크', '고양이', '레고', '채영', '커피']",0,0,0,0,0,0,0,0,0,0
카페소금,"['커피', '소금', '강아지', '친절', '사장']",0,0,0,2,0,0,0,0,0,0
카페갤럭시아,"['산방산', '카페', '풍경', '커피', '루프']",0,0,0,1,0,0,0,0,0,0
제주 함덕 카페 라라떼커피,"['카페', '커피', '사장', '분위기', '인테리어']",0,0,0,3,0,0,0,0,0,0
꼬라지오,"['친절', '커피', '샌드위치', '카페', '분위기']",0,0,0,2,0,0,0,2,0,0
인터포레스트,"['커피', '카페', '한라봉', '친절', '사장']",0,0,0,1,0,0,0,1,0,0
미리로,"['친절', '이호', '해변', '카페', '커피']",0,0,0,1,0,0,0,0,0,0
컴컴제주,"['커피', '친절', '사람', '음료', '카페']",0,0,0,2,0,0,0,0,0,0
네꼬야티하우스,"['분위기', '홍차', '밀크티', '디저트', '사장']",0,0,0,3,0,0,0,0,0,0
스타벅스 신제주이마트점,"['친절', '직원', '이용', '매장', '주문']",0,0,0,0,0,0,0,0,0,0
카페파람,"['분위기', '커피', '사장', '편안', '친절']",0,0,0,0,0,0,0,0,0,0
공생,"['커피', '친절', '카페', '사장', '분위기']",0,0,0,2,0,0,0,0,0,0
카페마니,"['커피', '바다', '음료', '분위기', '힐링']",0,0,0,3,0,0,0,0,0,0
카페뚜이,"['사장', '커피', '친절', '카페', '분위기']",0,0,0,7,0,0,2,0,0,0
카페팀블로우,"['카페', '브라우니', '커피', '친절', '직원']",0,0,0,2,0,0,0,0,0,0
히아담,"['감바스', '브런치', '맛집', '토마토', '스튜']",0,0,0,0,0,0,0,0,0,0
트라이브 신창점,"['카페', '강아지', '수플레', '사장', '팬케이크']",0,0,0,1,0,0,0,0,0,0
커핏,"['커피', '카페', '디저트', '테라로사', '친절']",0,0,0,5,0,0,0,0,0,0
어반정글그레이밤부,"['제주', '분위기', '사진', '화장실', '카페']",0,0,0,1,0,0,0,0,0,0
슬로보트 아뜰리에,"['커피', '분위기', '카페', '자리', '공간']",0,0,0,3,0,0,0,0,0,0
윤재커피,"['커피', '사장', '친절', '기름', '분위기']",0,0,0,0,0,0,0,0,0,0
니나수족욕카페,"['카페', '족욕', '피로', '사장', '친절']",0,0,0,0,0,0,0,0,0,1
니모스토리,"['직원', '친절', '설명', '들보', '바다']",0,0,0,0,0,0,0,0,0,0
로스트&헤븐,"['사장', '커피', '카페', '힐링', '바다']",1,0,0,1,0,0,0,0,0,0
카페책자국,"['커피', '사장', '책방', '친절', '달리']",0,0,0,2,0,0,0,0,0,0
꽁떼네도르,"['파스타', '친절', '샌드위치', '브런치', '고등어']",0,0,0,1,0,0,0,0,0,0
카페 오놀,"['사장', '아이스크림', '커피', '친절', '카페']",0,0,0,1,0,0,0,0,0,0
식빵가게,"['식빵', '친절', '아쉬움', '치즈', '방문']",0,0,0,0,0,0,0,0,0,0
토토네,"['타르트', '에그', '맛집', '커피', '최고']",0,0,0,1,0,0,0,0,0,0
화수목,"['아이스크림', '카페', '스콘', '분위기', '사장']",0,0,0,1,0,0,0,0,0,0
베터플랫,"['치즈볼', '치즈', '가격', '디저트', '분위기']",0,0,0,1,0,0,0,0,0,0
안녕토르,"['분위기', '카페', '강아지', '토르', '친절']",0,0,0,0,0,0,0,0,0,0
토끼썸,"['친절', '카페', '사장', '피크닉', '커피']",1,0,0,0,0,0,0,0,0,0
오후다섯시 두가지착각 조차도,"['카페', '커피', '음료', '공간', '인테리어']",0,0,0,1,0,0,0,0,0,0
카페이시도르,"['커피', '분위기', '우유', '카페', '편안']",0,0,0,0,0,0,0,0,0,0
에이바우트커피 삼무공원점,"['커피', '알바', '성비', '분위기', '공부']",0,0,0,0,0,0,0,0,0,0
관심사,"['고양이', '음료', '카페', '분위기', '공간']",0,0,0,4,0,0,0,0,0,0
게우지코지인갤러리 커피하우스,"['커피', '카페', '힐링', '직원', '친절']",0,0,0,2,0,0,0,0,0,0
왓섬,"['아이들', '카페', '음식', '위험', '부모']",0,0,0,0,0,0,0,0,0,0
페어리제주,"['커피', '카페', '분위기', '바다', '핑크']",0,0,0,2,0,0,0,0,0,0
폴바셋 제주아라DT점,"['커피', '아이스크림', '친절', '카페', '자리']",0,0,0,0,0,0,0,0,0,0
해거름전망대카페,"['커피', '사장', '아이스크림', '친절', '카페']",0,0,0,3,0,0,0,0,0,0
주네가네 키친앤카페,"['핫도그', '친절', '사장', '제주도', '커피']",0,0,0,0,0,0,0,0,0,0
픽스커피 화북공단점,"['커피', '친절', '불편', '테이블', '카페']",0,0,0,0,0,0,0,0,0,0
술의식물원,"['분위기', '손님', '메뉴', '스타', '공지']",0,0,0,0,0,0,0,0,0,0
88로스터즈,"['커피', '사장', '친절', '쿠키', '최고']",0,0,0,1,0,0,0,0,0,0
플레이커피랩,"['커피', '아메리카노', '친절', '분위기', '카페']",0,0,0,2,0,0,0,0,0,0
오르바,"['커피', '친절', '카페', '바다', '빙수']",0,0,0,1,0,0,0,0,0,0
바미아일랜드,"['커피', '카페', '음료', '빙수', '친절']",0,0,1,2,0,0,0,0,0,0
보라지붕,"['사장', '친절', '당근', '사진', '케이크']",0,0,0,9,0,0,0,0,0,0
폴바셋 제주용담DT점,"['커피', '자리', '매장', '관리', '최고']",0,0,0,0,0,0,0,0,0,0
커피가게쉬고가게,"['빙수', '망고', '주문', '커피', '애플']",0,0,0,1,0,0,0,0,0,0
카페쌀쌀,"['디저트', '친절', '임자', '붕어', '스타']",0,0,0,1,0,0,0,0,0,0
초가헌,"['기름', '분위기', '카페', '에이드', '아메리카노']",0,0,0,0,0,0,0,0,0,0
도리화과,"['화과자', '분위기', '빙수', '커피', '전문점']",0,0,0,0,0,0,0,0,0,0
카페정관헌,"['커피', '분위기', '쿠키', '느낌', '친절']",0,0,0,0,0,0,0,0,0,0
간세다리족욕카페,"['사장', '마사지', '족욕', '어깨', '피로']",0,0,0,6,0,0,0,0,0,0
잔디공장,"['잔디', '사장', '친절', '카페', '사진']",0,0,0,5,0,0,0,0,0,0
카페사우다드,"['커피', '카페', '브라우니', '에스프레소', '밸런스']",0,0,0,3,0,0,0,0,0,0
유티피커피,"['카페', '메뉴', '쿠키', '공간', '버터']",0,0,0,0,0,0,0,0,0,0
제주소담,"['고양이', '커피', '바다', '카페', '사진']",1,0,0,1,0,0,0,0,0,0
우연못,"['분위기', '하우스', '공간', '방문', '추천']",0,0,0,3,0,0,0,0,0,0
가파도봄날에,"['보리', '아이스크림', '새싹', '포구', '가격']",0,0,0,0,0,0,0,0,0,0
이스틀리,"['친절', '카페', '정원', '커피', '방문']",0,0,0,0,0,0,0,0,0,0
블라썸1407,"['치즈', '초록', '평점', '숙소', '인테리어']",0,0,0,0,0,0,0,0,0,0
다카포카페,"['아이들', '카페', '친절', '제주', '분위기']",0,0,0,1,0,0,0,0,0,0
카페단단,"['사장', '커피', '카페', '친절', '분위기']",0,0,0,1,0,0,0,0,0,0
커피동굴,"['커피', '사장', '제주', '친절', '분위기']",0,0,0,0,0,0,0,0,0,0
카페지니,"['커피', '친절', '카페', '치즈', '바다']",0,0,0,0,0,0,0,0,0,0
레드브라운,"['커피', '사장', '핸드', '풍경', '카페']",0,0,0,4,0,0,0,0,0,0
어글리딜리셔스,"['티라미수', '쿠키', '친절', '커피', '직원']",1,0,0,0,0,0,0,0,0,0
딜레탕트,"['분위기', '커피', '디저트', '사진', '카페']",0,0,0,3,0,0,0,0,0,0
감따남,"['친절', '사장', '카페', '포토', '가도']",0,0,0,1,0,0,0,0,0,0
종달리746,"['분위기', '카페', '사장', '친절', '북카페']",0,0,0,5,0,0,0,1,0,0
해비치불턱,"['커피', '바다', '빙수', '추천', '전망']",0,0,0,5,0,0,0,0,0,0
목장카페 밭디,"['승마', '직원', '친절', '카페', '커피']",0,0,0,1,0,0,0,0,0,0
리치망고 쇠소깍점,"['망고', '친절', '가격', '사장', '매장']",0,0,0,0,0,0,0,0,0,0
바다는안보여요,"['당근', '분위기', '사장', '달리', '주스']",0,0,0,1,0,0,0,0,0,0
플라이오조,"['빙수', '친절', '커피', '카페', '케익']",0,0,0,1,0,0,0,0,0,0
안녕구움,"['타르트', '에그', '쿠키', '사장', '친절']",0,0,0,4,0,0,0,0,0,0
나비정원,"['커피', '사장', '친절', '제주', '카페']",0,0,0,0,0,0,0,0,0,0
아뽀밍고,"['망고', '카페', '성산', '일출봉', '태도']",0,0,0,0,0,0,0,0,0,0
논짓물해수족욕카페,"['족욕', '카페', '친절', '피로', '강아지']",0,0,0,0,0,0,0,0,0,0
페이보리오리,"['카페', '분위기', '오리', '친절', '밀크티']",0,0,0,0,0,0,0,0,0,0
슈가탱크,"['아이스크림', '땅콩', '우도', '카페', '음료']",0,0,0,3,0,0,0,0,0,0
할로비치 본점,"['망고', '매장', '예전', '손님', '관리']",0,0,0,0,0,0,0,0,0,0
고도,"['커피', '분위기', '친절', '카페', '공간']",0,0,0,1,0,0,0,0,0,0
산노루,"['말차', '녹차', '음료', '카페', '직원']",0,0,0,5,0,0,0,0,0,0
팡송,"['커피', '디저트', '낭시', '친절', '마들렌']",0,0,0,0,0,0,0,0,0,0
초이당,"['버거', '프라이', '남원읍', '할인', '소금']",0,0,0,0,0,0,0,0,0,0
따소롬,"['스콘', '분위기', '사장', '커피', '친절']",0,0,0,2,0,0,0,0,0,0
유람위드북스,"['공간', '버스', '제주', '방문', '북카페']",0,0,0,0,0,0,0,0,0,0
카페 세러데이아일랜드,"['커피', '공간', '친절', '분위기', '키즈']",0,0,0,0,0,0,0,0,0,0
무상찻집 (휴업중),"['사장', '친절', '분위기', '카페', '디저트']",0,0,0,2,0,0,0,0,0,0
소길다방,"['카이', '친절', '커피', '사장', '카페']",0,0,0,1,0,0,0,0,0,0
제주몽,"['팥빙수', '빙수', '망고', '정성', '친절']",0,0,0,1,0,0,0,0,0,0
카페을리,"['카페', '친절', '공간', '음료', '음악']",0,0,0,0,0,0,0,0,0,0
에이바우트커피 종합청사점,['친절'],0,0,0,0,0,0,0,0,0,0
나이체,"['커피', '디저트', '친절', '낭시', '에스프레소']",0,0,0,0,0,0,0,0,0,0
에이바우트커피 올레시장점,"['인사', '이마', '하트', '여직원', '직원']",0,0,0,0,0,0,0,0,0,0
제주기와,"['커피', '정원', '카페', '테이블', '음료']",0,0,0,0,0,0,0,0,0,0
카페 가드니아,"['정원', '카페', '팥빙수', '강아지', '한라봉']",0,0,0,0,0,0,0,0,0,0
헤이피피,"['커피', '맛집', '카페', '음료', '디저트']",0,0,0,0,0,0,0,0,0,0
카페물결,"['커피', '음료', '판매', '카페', '시럽']",0,0,0,0,0,0,0,0,0,0
제3공간,"['커피', '사장', '친절', '분위기', '인테리어']",0,0,0,0,0,0,0,0,0,0
제대가는길,"['카페', '분위기', '사장', '친절', '음료']",0,0,0,3,0,0,0,0,0,0
일월선셋비치,"['칵테일', '최고', '음악', '분위기', '동남아']",0,0,0,0,0,0,0,0,0,0
오드랑베이커리,"['바게트', '마농', '마늘', '마늘빵', '가격']",0,0,0,19,0,0,0,1,0,0
애월빵공장앤카페,"['카페', '커피', '종류', '친절', '음료']",0,0,1,8,0,0,0,0,0,0
하멜,"['예약', '친절', '방문', '치즈', '사람']",0,0,0,1,0,0,0,0,0,0
빵귿,"['소금', '버터', '빵집', '느낌', '맛집']",0,0,0,6,0,0,0,0,0,0
덕인당보리빵,"['보리', '택배', '가격', '천원', '친절']",0,0,0,3,0,0,1,0,0,0
보래드베이커스,"['커피', '카페', '스콘', '분위기', '사진']",0,0,0,13,0,0,0,0,0,0
다니쉬,"['커피', '감자빵', '분위기', '사장', '케이크']",1,0,0,10,0,0,0,0,0,0
아베베베이커리,"['크림', '땅콩', '도넛', '우유', '우도']",0,0,0,12,0,0,0,0,0,0
해비치호텔앤드리조트 마고,"['가격', '카야', '크림', '브레드', '추천']",0,0,0,3,0,0,0,0,0,0
벨룸리조트 카페,"['그룹', '담소', '음료', '비용', '리조트']",0,0,0,0,0,0,0,0,0,0
프랑제리 켄싱턴리조트 중문점,"['사과', '당근', '샌드위치', '대박', '사이즈']",0,0,0,0,0,0,0,0,0,0
더벤티 해비치리조트점,"['친절', '사장', '덕분', '충전', '음료']",0,0,0,0,0,0,0,0,0,0
호텔샌드,"['음료', '분위기', '가격', '디저트', '인테리어']",0,0,0,3,0,0,0,0,0,0
해비치호텔앤드리조트 마고,"['가격', '카야', '크림', '브레드', '추천']",0,0,0,3,0,0,0,0,0,0
제주신라호텔 바당,"['빙수', '망고', '가격', '생각', '보니']",0,0,0,0,0,0,0,0,0,0
