place,Top5,무료,혜택,친환경,추천,식재료,제주산,에너지,환경,비건,야경
빠빠라기 신제주점,"['빙수', '맛집', '추억', '소자', '근본']",0,0,0,0,0,0,0,0,0,0
두갓,"['카페', '분위기', '음료', '커피', '사장']",1,0,0,0,0,0,0,0,0,0
그러므로 파트2,"['커피', '메리', '카페', '친절', '디저트']",0,0,0,2,0,0,0,0,0,0
트라인커피,"['커피', '크림', '아포가토', '분위기', '키즈']",0,0,0,2,0,0,0,0,0,0
카페바나나 함덕점,"['바나나', '카페', '빙수', '크림', '사진']",0,0,0,3,0,0,0,0,0,0
프로젝트064다방,"['피자', '음식', '분위기', '파스타', '옥수수']",0,0,0,0,0,0,0,0,0,0
앨리스,"['빙수', '녹차', '사장', '실타래', '망고']",0,0,0,3,0,0,0,0,0,0
카페콜라,"['사장', '커피', '사진', '카페', '친절']",0,0,0,7,0,0,0,0,0,0
카페 동백,"['카페', '커피', '음료', '건지', '분위기']",0,0,0,1,0,0,0,0,0,0
스테이위드커피,"['커피', '친절', '분위기', '카페', '제주']",0,0,0,3,0,0,0,0,0,0
수마,"['커피', '사장', '카페', '친절', '브라운']",0,0,0,7,0,0,0,0,0,0
그초록,"['아보카도', '커피', '샌드위치', '초록', '분위기']",0,0,0,4,0,0,0,0,0,0
카페노티드 제주애월,"['도넛', '크림', '서서', '우유', '사진']",0,0,0,8,0,0,0,0,0,0
코코티에,"['친절', '커피', '카페', '바다', '야외']",0,0,0,1,0,0,0,0,0,0
망고홀릭 제주본점,"['망고', '빙수', '코코넛', '가격', '최고']",0,0,0,2,0,0,0,0,0,0
다소니,"['분위기', '반찬', '메밀', '비빔밥', '건강']",0,0,0,3,0,0,0,0,0,0
요요무문,"['당근', '카페', '주스', '케이크', '쥬스']",0,0,0,4,0,0,0,0,0,0
스타벅스 제주함덕점,"['사람', '음료', '제주', '친절', '직원']",0,0,0,1,0,0,0,1,0,0
블루보틀 제주 카페,"['친절', '커피', '직원', '사람', '제주']",0,0,0,2,0,0,0,0,0,0
1158족욕카페,"['족욕', '친절', '사장', '바다', '사진']",0,0,0,1,0,0,0,0,0,0
그계절,"['토스트', '커피', '음료', '식물', '밀크티']",0,0,0,1,0,0,0,0,0,0
텐저린카페,"['카페', '브런치', '분위기', '가격', '커피']",0,0,0,1,0,0,0,0,0,0
말로,"['음료', '카페', '커피', '분위기', '포니']",1,0,1,2,0,0,0,0,0,0
마노커피하우스,"['커피', '녹차', '쿠키', '설명', '사장']",0,0,0,9,0,0,0,0,0,0
서귀피안,"['케이크', '커피', '분위기', '친절', '만족']",0,0,0,0,0,0,0,0,0,0
엘파소,"['카페', '산방산', '커피', '음료', '사람']",0,0,0,0,0,0,0,0,0,0
망고레이 섭지코지점,"['망고', '가격', '제주', '음료', '스무디']",0,0,0,0,0,0,0,0,0,0
어제보다오늘,"['케이크', '커피', '디저트', '카페', '친절']",0,0,0,1,0,0,0,0,0,0
비마이게스트,"['망고', '가격', '수플레', '애플', '빙수']",0,0,0,6,0,0,0,0,0,0
카페진정성 종점,"['커피', '밀크티', '친절', '직원', '사람']",0,0,0,3,0,0,0,0,0,0
빽다방베이커리 제주사수점,"['가격', '커피', '카페', '사람', '성비']",0,0,0,5,0,0,0,0,0,0
오늘의바다,"['커피', '바다', '음료', '분위기', '녹차']",0,0,0,0,0,0,0,0,0,0
와랑와랑,"['찰떡', '구이', '카페', '친절', '분위기']",0,0,0,6,0,0,0,0,0,0
카페그라나다,"['비행기', '커피', '친절', '사진', '맛집']",0,0,0,1,0,0,0,0,0,0
카페리,"['당근', '케이크', '카페', '친절', '고양이']",0,0,0,3,0,0,0,0,0,0
사계생활,"['직원', '음료', '공간', '사람', '제주']",0,0,0,7,0,0,0,0,0,0
카페도두,"['고양이', '카페', '분위기', '맛집', '사장']",0,0,0,0,0,0,0,0,0,0
스타벅스 성산일출봉점,"['성산', '일출봉', '친절', '제주', '마감']",0,0,0,0,0,0,0,0,0,0
에스프레소라운지,"['커피', '친절', '공간', '직원', '서비스']",0,0,0,0,0,0,0,0,0,0
모모제이,"['팬케이크', '딸기', '브런치', '샌드위치', '가격']",1,0,0,1,0,0,0,0,0,0
