place,Top5,무료,혜택,친환경,추천,식재료,제주산,에너지,환경,비건
오멍가멍흑돼지 본점,"['고기', '돼지', '딱새', '친절', '가격']",0,0,0,5,0,0,1,0,0
흑본오겹 함덕점,"['고기', '친절', '부위', '돼지', '특수']",0,0,0,4,0,0,0,0,0
선흘방주할머니식당,"['만두', '곰취', '콩국수', '두부', '고사리']",0,0,0,3,0,0,0,0,0
모메존흑돼지,"['고기', '반찬', '친절', '사장', '돼지']",0,0,0,14,0,0,1,2,0
스시권,"['초밥', '친절', '재료', '마카', '사시미']",0,0,0,16,0,0,0,1,0
영빈횟집,"['친절', '고등어', '코스', '매운탕', '직원']",0,0,0,3,0,0,0,0,0
용두암오메기떡,"['친절', '메기', '가격', '선물', '사장']",0,0,0,0,0,0,0,0,0
다미진횟집,"['친절', '매장', '음식', '수족관', '추천']",0,0,0,31,0,0,0,0,0
수복강녕,"['떡갈비', '친절', '예약', '반찬', '맛집']",0,0,0,4,0,0,0,0,0
오가네 전복설렁탕 함덕점,"['전복', '설렁탕', '냉면', '전복죽', '친절']",0,0,0,4,0,0,0,0,0
천돈가,"['고기', '친절', '사장', '제주도', '돼지']",0,0,0,12,0,0,0,0,0
운산식당,"['고기', '사장', '친절', '제주도', '돼지']",0,0,0,8,0,0,0,0,0
만지식당,"['소바', '우동', '가게', '음식', '친절']",0,0,0,2,0,0,0,0,0
한라축산정육식당,"['돼지', '고기', '가격', '제주도', '식당']",0,0,0,0,0,0,0,0,0
마마무말가든,"['말고기', '코스', '친절', '음식', '사장']",0,0,0,1,0,0,0,0,0
용꽈배기,"['꽈배기', '대파', '핫도그', '고로케', '생각']",0,0,0,2,0,0,0,0,0
고미,"['음식', '횟집', '방문', '사진', '기본']",0,0,0,1,0,0,0,0,0
성읍칠십리식당,"['고기', '국수', '감자', '친절', '고사리']",0,0,0,3,0,0,0,0,0
한라산아래첫마을,"['메밀', '대기', '음식', '제주', '친절']",0,0,0,3,0,0,0,0,0
연리지가든,"['돼지', '고기', '제주', '토종', '생각']",0,0,1,5,0,0,0,0,0
돌하르방식당 본점,"['기국', '할아버지', '국자', '서비스', '코로나']",0,0,0,1,0,0,0,0,0
연탄과친한돼지,"['고기', '돼지', '친절', '사장', '제주']",0,0,0,4,0,0,0,0,0
함쉐프키친,"['짬뽕', '인생', '국물', '갈비', '가격']",0,0,0,8,0,0,0,1,0
갈치공장,"['갈치', '조림', '친절', '구이', '광어']",0,0,0,11,0,0,0,1,0
청파식당횟집,"['고등어', '포장', '친절', '맛집', '조림']",1,0,0,8,0,0,0,0,0
해비치호텔앤리조트 제주 이디,"['만족', '음식', '조식', '산책', '커피']",0,0,0,0,0,0,0,0,0
캠퍼트리호텔앤리조트 더뷰,"['커피', '감성', '분위기', '휴식', '충전']",0,0,0,0,0,0,0,0,0
황가네뚝배기,"['미역국', '뚝배기', '고등어', '전복', '구이']",0,0,0,1,0,0,0,0,0
씨에스호텔 씨에스다이닝,[''],0,0,0,0,0,0,0,0,0
포도호텔 레스토랑,"['우동', '가격', '새우', '튀김', '호텔']",0,0,0,0,0,0,0,0,0
씨에스호텔 카노푸스 다이닝,"['호텔', '음료', '커피', '경치', '가격']",0,0,0,1,0,0,0,0,0
