place,insta,mean_rate,mean_num,인기지수
라마다프라자제주호텔,0.0,0.3766666666666665,0.5292292772342648,0.3019653146336438
롯데호텔제주,0.3380593055473678,0.6266666666666665,0.5996920092930069,0.5214726605023471
베니키아호텔제주,0.004344750338973059,0.15666666666666718,0.3371304644371977,0.1660472938142793
베니키아중문호텔,0.001597594765076932,0.43666666666666654,0.055702623782424285,0.1646556284047226
호텔더본제주,0.0,0.5199999999999996,0.65309162989961,0.3910305432998699
서머셋제주신화월드,0.045180687378411834,0.30000000000000027,0.2312551953449709,0.1921452942411277
호텔리젠트마린,0.0016329658668867535,0.2666666666666666,0.8205128205128206,0.36293748434879136
롯데시티호텔제주,0.04742085715970053,0.603333333333333,0.4182236715902552,0.35632595402776296
해비치호텔앤드리조트제주,0.000282968814478571,0.6133333333333333,0.86475797685274,0.4927914263335173
제주부영호텔앤리조트,0.005570948535046866,0.43333333333333357,0.4405865677686127,0.29316361654566436
히든클리프호텔&네이쳐,0.0,0.32333333333333325,0.7228179551122196,0.3487170961485176
호텔케니서귀포,0.0,0.4299999999999997,0.5678069782807937,0.3326023260935978
코업시티호텔성산,0.04092436479396333,0.28000000000000025,0.5314086578425731,0.2841110075455122
오션스위츠제주호텔,0.0027117844720863054,0.29666666666666686,0.3045623121682972,0.20131358776901678
제주신라호텔,1.0,0.6933333333333334,1.0,0.8977777777777778
파크선샤인제주,0.012704120733360844,0.5766666666666671,0.42525097512628685,0.33820725417543823
위호텔,0.040269999410481636,0.33000000000000007,0.2996643007864953,0.22331143339899237
유니호텔앤풀빌라,0.0,0.5266666666666668,0.4289788349638724,0.3185485005435131
코업시티호텔하버뷰,0.0300595413547132,0.3999999999999999,0.33529317731312747,0.2551175728892802
토스카나호텔,0.13963921476153981,0.49666666666666703,0.29559541317646054,0.3106337648682225
캠퍼트리호텔앤리조트,0.04265165359900961,0.3999999999999999,0.22177888611803823,0.22147684657234926
리치호텔,0.0055827389023168075,0.3166666666666669,0.16369652791099176,0.1619819778266585
호텔레오,0.004038200789954607,0.6633333333333336,0.25985570262378244,0.3090757455823569
스위트메이서귀포호텔,7.663738725461298e-05,0.5033333333333334,0.17356928192339663,0.2256597508813282
스위트호텔제주점,0.0,0.0,0.28205128205128205,0.09401709401709402
호텔윈스토리,0.00019454105995401756,0.5433333333333339,0.23295607136006138,0.25882798191778306
아리아호텔,0.01750280021222661,0.6633333333333336,0.16360594240893492,0.28148069198483167
아이진호텔,0.0022165890467488064,0.41000000000000014,0.15700812072383144,0.18974156992352678
제주항공우주호텔,0.004338855155338089,0.3466666666666667,0.12251422725238187,0.15783991635812888
