place,insta,mean_rate,mean_num,인기지수
연돈,0.19071615348752358,0.2666666666666666,0.1377335744424352,0.19837213153220845
숙성도노형점,0.0004175703889891148,0.3999999999999999,0.12718505123568416,0.17586754054155773
우진해장국,0.27027344779356616,0.3700000000000001,0.6298975286317059,0.42339032547509076
고집돌우럭제주공항점,0.0015081182980966087,0.8366666666666669,0.3545255999062211,0.39756679495699493
고집돌우럭함덕점,0.008643301643930026,0.8866666666666667,0.40696708578910384,0.4340923513665669
색달식당중문갈치조림구이본점,0.0,0.7333333333333334,0.4122661373027937,0.3818664902120424
고집돌우럭중문점,0.022954209150061824,0.8900000000000001,0.9685086787105915,0.6271542959535511
이춘옥의원조고등어쌈밥,0.001200008108162893,0.5333333333333332,0.14767932489451477,0.22740422211200362
제주김만복본점,0.030401556767275455,0.2933333333333339,0.26952227857069194,0.19775238955710042
중문수두리보말칼국수,0.009000060811221698,0.6766666666666672,0.18586651626173276,0.29051108124654057
맛나식당,0.08792491841161089,0.3200000000000003,0.14084454804534438,0.18292315548565186
곰막식당,0.021786633693470902,0.42333333333333334,0.16720676002277854,0.2041089090165276
춘심이네본점,0.050355745646930045,0.41666666666666696,0.17503162795405092,0.2140180134225493
은희네해장국본점,0.006977074169420064,0.13333333333333375,0.04731766124171187,0.06254268958148856
착한집,0.03712727788701275,0.6000000000000005,0.10367691380349607,0.24693473056350312
칠돈가본점,0.025005574361988935,0.2666666666666666,0.034659433393610606,0.10877722480742204
한림칼국수,0.054357124034621854,0.2666666666666666,0.05515370705244123,0.1253924992512432
미영이네식당,0.02691910080473517,0.6100000000000003,0.13866191494690666,0.25852700525054734
바다를본돼지제주협재판포본점,0.0,0.3333333333333335,0.02802893309222423,0.12045408880851922
더바루시아,0.00099730403583808,0.3333333333333335,0.013261000602772756,0.11586387932398144
제주김만복애월점,0.005590578314718343,0.41000000000000014,0.17796042454162686,0.19785033428544843
김희선제주몸국,0.0064703139886080315,0.48666666666666725,0.11171621125615663,0.20161773063714397
제주오성식당,0.004877059980135001,0.6266666666666665,0.2440103861396857,0.29185137092882907
신설오름,0.02512719680538382,0.5033333333333334,0.07532632041503562,0.2012622835179176
바다를본돼지제주서귀포점,0.0,0.5300000000000002,0.0865489434181507,0.20551631447271698
삼대국수회관본점,0.005395982405286522,0.2400000000000002,0.11573416248216822,0.12037671496248499
제주김만복동문시장점,0.0007054101716903493,0.5533333333333337,0.1795780142320989,0.24453891924570761
갈치왕중문점,6.891938459043642e-05,0.7900000000000005,0.10762174440257277,0.2992302212623879
국수마당본점,0.0016581193116169705,0.3466666666666667,0.09956406270117779,0.1492962828931538
고이정본점,0.0006243285427604241,0.6700000000000008,0.22566329024244788,0.2987625395950697
상춘재,0.03300833113737255,0.5800000000000001,0.11206570415195766,0.24169134509644344
살아있는해물뚝배기어마장장,0.00608112216974439,0.6000000000000005,0.044303797468354424,0.2167949732126998
해왓,0.01017979851215211,0.5233333333333334,0.07062725519322999,0.20138012901290517
당케올레국수,0.017935256319299455,0.31666666666666643,0.08234452338354731,0.13898214878983772
국수바다본점,0.05134088743842864,0.20000000000000018,0.1122470804595934,0.12119598929934074
만덕이네,0.029112358867289644,0.26000000000000023,0.06250724640466229,0.11720653509065071
원담,0.02422719072426165,0.5700000000000003,0.0694322149688781,0.22121980189771331
일통이반,0.03781241765147062,0.0,0.062022626077832634,0.033278347909767754
큰돈가중문점,0.004398678369448442,0.6766666666666672,0.06885112537865468,0.24997215680492343
다정이네올레시장본점,5.675714025094764e-05,0.5100000000000007,0.1840594791300343,0.231372078756762
국시트멍,0.012166298420935277,0.48666666666666725,0.08272690935156128,0.19385329147972127
충민정,0.026388016135244156,0.8233333333333333,0.20170938282091244,0.3504769107631633
스시애월,0.0172339002290556,0.6633333333333336,0.028333330130502543,0.23630018789763055
제주어멍통갈치,0.007443293535767134,0.6600000000000001,0.10903544188495559,0.25882624514024094
솔지식당,0.021936634706991264,0.4299999999999997,0.04949235131979048,0.1671429953422605
문개항아리조천본점,0.002574341718525125,0.8300000000000001,0.41191693266176377,0.41483042479342963
치저스,0.04482597855390915,0.5866666666666669,0.13304059459913048,0.2548444132732355
동해미락,0.0044230028581274195,0.5833333333333335,0.04638640616122153,0.2113809141175608
해월정,0.07017614983885026,0.3733333333333331,0.15978942028122134,0.20109963448446821
모살물,0.012004135163075427,0.13333333333333375,0.031042796865581677,0.058793421787330276
제주에가면,0.021685281657308497,0.6333333333333337,0.0528332241168034,0.23595061303581522
별돈별정원점,0.00252569274116717,0.3999999999999999,0.025617842073538278,0.14271451160490178
다가미,0.0054284150568584925,0.31000000000000005,0.06921182818222057,0.12821341441302636
골막식당,0.009993310765613281,0.4666666666666668,0.05784844076588652,0.17816947273272218
제주김만복김밥서귀포점,9.324387326941399e-05,0.44333333333333336,0.16809243882112768,0.20383967200924347
고씨네천지국수,0.009721687308698032,0.6533333333333338,0.12810000390745355,0.26371834151649515
올레왕갈치,0.0018446070581557984,0.6966666666666668,0.039826175967367,0.24611248323072987
도토리키친본점,0.00011756836194839154,0.4700000000000002,0.0783085722484961,0.1828087135368149
산방식당,0.06378691747917216,0.2666666666666666,0.06922047582535348,0.13322468665706408
연동마라도횟집,0.00418381205278414,0.3600000000000003,0.028853373765869224,0.13101239527288455
뽈살집제주본점,0.000202704072324813,0.6766666666666672,0.08238074739978182,0.25308337271292464
흑돼지BBQ,0.0,0.75,0.09682650714007068,0.2822755023800236
산도롱맨도롱,0.04999898647963838,0.0,0.055756479807112715,0.035251822095583696
