place,insta,mean_rate,mean_num,인기지수
마레보비치호텔,0.002203004574461336,0.0,0.5149236728184097,0.172375559130957
제주엘루이호텔,3.7190742567867636e-05,0.1166666666666667,0.10144679881521987,0.07271688540815148
신신호텔서귀포점,1.7501525914290653e-05,0.2666666666666666,1.0,0.4222280560641936
코자호텔,4.15661240464403e-05,0.47666666666666657,0.5496126680337207,0.34210696694147785
아인스호스텔,0.0,0.4933333333333336,0.28189792663476876,0.2584104199893675
아라팰리스호텔,2.1876907392863317e-05,0.20000000000000018,0.07889040783777626,0.09297076158172309
대동호텔,0.001476691249018274,0.5566666666666666,0.2529619503303714,0.27036843608201877
시티홀호텔,1.9689216653576983e-05,0.0,0.09090909090909091,0.03030959337524816
오라스테이,2.625228887143598e-05,0.44333333333333336,0.2641262246525405,0.23582860342491507
아루미호텔협재점,0.00023845829058221016,0.456666666666667,0.08618136249715197,0.1810288291514671
호텔G,0.0,0.17333333333333334,0.20186830713146503,0.12506721348826613
성산아쿠아비치호텔,0.00030627670350008644,0.2533333333333334,0.23769651401230346,0.16377870801637898
메종드씨엘하버39호텔앤리조트,2.1876907392863317e-05,0.3333333333333335,0.04522670312143996,0.1261939711207221
제주R호텔,0.0,0.41666666666666696,0.29551150603782184,0.2373927242348296
트루엘레지던스,0.0,0.6300000000000003,0.11762360446570973,0.24920786815523668
마로호스텔,0.00014219989805361156,0.6100000000000003,0.28514467988152203,0.29842895992652535
노형호텔,0.00011375991844288924,0.41666666666666696,0.06863750284802916,0.161805976477713
호텔DK,0.0,0.3866666666666667,0.34501025290498977,0.2438923065238855
베누스무인텔,0.0,0.9533333333333331,0.037821827295511506,0.3303850535429482
메이플호텔,0.0011704145455181875,0.27666666666666684,0.028309409888357256,0.10204883036684742
호텔탑아일랜드,0.0,1.0,0.030303030303030304,0.3434343434343434
르네상스호텔,0.014928801604889927,1.0,0.05234677603098656,0.3557585258786255
바다해호텔,0.00012032299066074824,0.6933333333333334,0.11984506721348827,0.27109957451249417
신세계호텔,0.0009844608326788492,0.2666666666666666,0.1268512189564821,0.13150078215194252
늘송파크텔,0.0,0.13333333333333375,0.036568694463431306,0.05663400926558835
호텔랑주,0.0,0.6000000000000005,0.10030758714969241,0.233435862383231
에메랄드호텔에이스,0.0,0.4400000000000004,0.04408749145591251,0.16136249715197096
골든파크호텔,2.843997961072231e-05,0.2599999999999998,0.20688083845978583,0.15563642614646545
헤라무인텔,0.0,0.3333333333333335,0.047334244702665756,0.1268891926786664
제주올레호텔,0.0,0.3999999999999999,0.16729323308270677,0.18909774436090224
성산호텔,0.009131421145781148,0.5333333333333332,0.15151515151515152,0.23132663533142195
이채호텔,2.843997961072231e-05,0.6000000000000005,0.13949646844383684,0.24650830280781602
스마트무인텔,0.0,1.0,0.034688995215311005,0.34489633173843703
모나코모텔,1.0938453696431658e-05,1.0,0.015778081567555252,0.3385963400070839
제주스위트호텔,0.004427886056315535,0.8166666666666664,0.5151515151515151,0.4454153559581657
오케이모텔,1.312614443571799e-05,1.0,0.04984051036682616,0.3499512121704207
뷰무인텔,0.0,1.0,0.016404647983595352,0.3388015493278651
라임모텔,1.0938453696431658e-05,0.06666666666666687,0.06687172476646161,0.044516443295608304
꿈의바다,0.00034784282754652676,0.5333333333333332,0.09216222374117111,0.20861446663401695
진모텔,0.0,0.6000000000000005,0.2322852586010481,0.27742841953368286
풀하우스호텔,0.0,1.0,0.0,0.3333333333333333
초이호스텔제주,0.00026033519797507345,0.666666666666667,0.33333333333333337,0.3334201117326585
남산모텔,1.0938453696431658e-05,1.0,0.08077010708589656,0.36026034851319766
타기모텔,0.0,1.0,0.034688995215311005,0.34489633173843703
호텔버킹검,0.0,0.5333333333333332,0.034688995215311005,0.1893407761828814
호호네미니호텔,0.0006738087477001902,1.0,0.06937799043062201,0.35668393305944074
찰리호텔,0.0,1.0,0.016404647983595352,0.3388015493278651
기린모텔,1.7501525914290653e-05,1.0,0.015151515151515152,0.3383896722258098
휴모텔,9.188301105002593e-05,1.0,0.018910913647755753,0.3396675988862686
이아호텔,2.406459813214965e-05,0.8166666666666664,0.017543859649122806,0.27807819697130715
호텔더레드,0.0,0.766666666666667,0.016917293233082706,0.2611946532999166
벨라유나,0.0,0.3333333333333335,0.06060606060606061,0.13131313131313135
소담여관,4.375381478572663e-05,0.3333333333333335,0.030303030303030304,0.12122670581704982
호텔더단잠,0.0,1.0,0.006892230576441102,0.3356307435254804
스타성모텔,0.0,0.3333333333333335,0.0,0.11111111111111116
한라모텔,4.375381478572663e-06,0.4666666666666668,0.08390293916609706,0.18352466040474746
글로벌모텔,0.0,1.0,0.05046707678286626,0.35015569226095544
호텔모닝캄,3.9378433307153966e-05,0.3333333333333335,0.0037593984962406013,0.11237737008762709
휴무인텔,0.00015313835175004322,1.0,0.0,0.33338437945058336
사쿠라호텔,0.00012688606287860723,0.8333333333333335,0.008771929824561403,0.28074404974025785
서사라호텔,0.0,1.0,0.0,0.3333333333333333
록산모텔,0.0,0.666666666666667,0.016404647983595352,0.22769043821675408
쌈지모텔,0.0,1.0,0.018910913647755753,0.33963697121591857
한울드라이브인호텔,0.0,1.0,0.0,0.3333333333333333
프린스장모텔,0.0,0.666666666666667,0.030303030303030304,0.2323232323232324
비양도모텔,0.0,0.6366666666666667,0.027056277056277056,0.22124098124098124
탑모텔,7.000610365716261e-05,0.3999999999999999,0.1218386876281613,0.17396956457727278
캐피탈모텔,4.375381478572663e-06,0.6166666666666667,0.024550011392116655,0.21374035114675397
