place,insta,mean_rate,mean_num,인기지수
휘닉스제주,1.0,0.35333333333333306,0.4546658483801156,0.6026663939044828
한화리조트제주,0.06555019257959144,0.33999999999999986,0.7108433734939759,0.37213118869118905
소노벨제주신관,0.0,0.0,0.012048192771084338,0.004016064257028113
켄싱턴리조트제주중문,0.00948271659109746,0.3333333333333335,0.07693867516536207,0.13991824169659767
더큐브리조트제주,0.003680951684461996,0.3200000000000003,0.3015350050784012,0.20840531892095449
아이브리조트,0.037760226220077034,0.2666666666666666,0.25704785181835477,0.1871582482350328
롯데리조트제주아트빌라스,0.0009019550485105553,0.5300000000000002,0.0965667854617756,0.20915624683676212
와이리조트제주,0.0008288235580907806,0.543333333333333,0.23325114578062028,0.259137767557348
베이힐풀앤빌라,0.15021208132221736,0.4700000000000002,0.10273982435550962,0.24098396855924242
MJ리조트,0.0,0.8466666666666667,0.5402144772117964,0.4622937146261544
씨사이드아덴리조트,0.002583979328165375,0.4500000000000002,0.08792811998664901,0.18017069977160485
담앤루,0.020281800009750866,0.6000000000000005,0.14457831325301204,0.2549533710875878
올레리조트,0.09353517624689192,0.49666666666666703,0.1378579555038743,0.24268659947247775
오션스퀘어,0.013870606016283945,0.20000000000000018,0.1803406656115077,0.13140375720926392
취다선리조트,0.0958753839403247,0.8966666666666674,0.5470909554213279,0.5132110020094399
그림리조트,0.0075325435132368,0.44666666666666677,0.15520168251199615,0.20313363089729988
라헨느리조트,0.012651747842621033,0.3200000000000003,0.011915400655347037,0.11485571616598944
로긴리조트,0.017112768758227294,0.45666666666666655,0.1679945878240397,0.21392467441631116
애월스테이인제주,0.017527180537272685,0.5733333333333337,0.20491617946316099,0.26525889777792244
썬앤문리조트,0.061893618058602703,0.666666666666667,0.18221231664818346,0.3035908671244844
클럽이에스제주리조트,0.0015845156257617865,0.6499999999999999,0.11875921918235946,0.2567812449360404
제주리조트,0.5024620935107991,0.3333333333333335,0.1686746987951807,0.3348233752131044
젠하이드어웨이,0.34086587684657016,0.3533333333333335,0.300341670524816,0.3315136269015732
돈내코힐스파리조트,0.005509238944956365,0.5133333333333332,0.18967379796217937,0.23617212341348962
서귀포월드컵리조트,0.013626834381551363,0.6699999999999999,0.147191087854546,0.2769393074120324
벨룸리조트,0.013163668275559457,1.0,0.02292099586908851,0.34536155471488267
더베이제주리조트,0.004509775242552777,0.7533333333333334,0.035945390139647065,0.26459616623851107
라온프라이빗타운,0.07276583296767589,0.13333333333333375,0.02649561606569262,0.07753159412223408
오투힐제주점,0.0,0.3333333333333335,0.10778592475352708,0.1470397526956202
팜밸리리조트,0.03934474184583882,0.7233333333333336,0.11945368605790455,0.294043920412359
루시드엠,0.028350641119399347,0.5633333333333335,0.14853157042827253,0.24673851496033508
물뜰에쉼팡리조트,0.011042855053385989,0.38000000000000034,0.1079366617497694,0.16632650560105192
카이리조트,0.01228609039052216,0.4733333333333336,0.15705359418011636,0.21422433930132403
블라제리조트,0.004387889425186486,1.0,0.017045841991738177,0.3404779104723082
봄그리고가을리조트,0.1894836916776364,0.6200000000000001,0.27352484109808317,0.36100284425857315
메모리아리조트,0.0009263322119838136,0.3666666666666667,0.09024480405984978,0.1526126009795001
씨오르리조트,0.007386280532397251,0.666666666666667,0.17782299887665048,0.28395864869190485
파미유스파리조트,0.005314221637170299,0.7733333333333334,0.25942554848527266,0.34602436781859214
엘리시안제주콘도,0.0,0.666666666666667,0.03614457831325302,0.23427041499330667
돌과바람리조트,0.0003169031251523573,0.7333333333333334,0.0555735004360606,0.26307457896484876
중문리조트,0.03849154112427478,0.20000000000000018,0.10843373493975904,0.11564175868801134
하모니리조트,0.016649602652235387,0.6566666666666663,0.13176746306046347,0.26836124412645507
두빛나래리조트,0.0011944810101896543,0.706666666666667,0.03458875717346599,0.24748330161677423
제주바다목장다이브리조트,0.028667544244551705,0.4666666666666668,0.04819277108433735,0.18117566066518528
더세리리조트,0.0010969723562966214,0.6200000000000001,0.030881344861124572,0.21732610573914043
콤마앤리조트,0.003193408414996831,0.8166666666666664,0.08291252588549014,0.3009242003223845
샤모니리조트,0.0009507093754570719,0.7633333333333332,0.04033111893507901,0.26820505388128973
해밀리조트,0.004314757934766711,1.0,0.01956171423854489,0.34129215739110386
오션갤러리호텔앤리조트,0.002778996635951441,0.36666666666666714,0.014729157918537423,0.12805827374038534
오크라리조트,0.026595485349324755,0.8900000000000001,0.004170390229371462,0.3069219585262321
캐슬렉스제주골프클럽골프텔,0.0,1.0,0.0,0.3333333333333333
제주애월리조트,0.024718443761883868,0.3333333333333335,0.0007447125409591897,0.11959882987872551
나르샤리조트,0.0004631661059919068,0.8000000000000003,0.04031496854262448,0.28025937821620556
브릭216,0.04580469016625226,0.8200000000000003,0.13981035850282272,0.33520501622302507
바다스케치,0.006118668031787821,0.8766666666666665,0.06336696203939977,0.31538409891261804
훈데르트힐즈,0.015186972843839892,1.0,0.013322279286942228,0.3428364173769274
스프링힐,0.01730778606601336,0.8666666666666667,0.02090219681227143,0.3016255498483172
스완지리조트,0.0012676125006094291,0.6100000000000003,0.06947539936331565,0.22691433728797517
썬비치리조트,0.0007313149041977475,1.0,0.0016383675901102176,0.3341232274981026
고투베드리조트,0.003266539905416606,0.2666666666666666,0.070071169396083,0.11333479198938873
제주원리조트,0.0016820242796548195,1.0,0.012048192771084338,0.3379100723502464
제주휴리조트1,0.0,0.0,0.012048192771084338,0.004016064257028113
