place,환경,친환경
섬소나이,0,0
제주선채향,0,0
흑돼지제주정,0,0
참맛나김밥,0,0
그리운바다 성산포,0,0
담다,0,0
희야국수,0,0
까망돼지 서귀포점,0,0
중문신라원,0,0
스시도모다찌 칠성점,0,0
오멍가멍흑돼지 본점,0,0
흑본오겹 함덕점,0,0
선흘방주할머니식당,0,0
모메존흑돼지,2,0
스시권,1,0
영빈횟집,0,0
용두암오메기떡,0,0
다미진횟집,0,0
수복강녕,0,0
오가네 전복설렁탕 함덕점,0,0
천돈가,0,0
운산식당,0,0
만지식당,0,0
한라축산정육식당,0,0
마마무말가든,0,0
용꽈배기,0,0
고미,0,0
성읍칠십리식당,0,0
한라산아래첫마을,0,0
연리지가든,0,1
돌하르방식당 본점,0,0
연탄과친한돼지,0,0
함쉐프키친,1,0
갈치공장,1,0
청파식당횟집,0,0
해비치호텔앤리조트 제주 이디,0,0
캠퍼트리호텔앤리조트 더뷰,0,0
황가네뚝배기,0,0
씨에스호텔 씨에스다이닝,0,0
포도호텔 레스토랑,0,0
씨에스호텔 카노푸스 다이닝,0,0
