place,address,Latitude,Longitude,category,k_means_cluster,인기지수,환경,친환경
도두봉,제주특별자치도 제주시 도두일동 산 2,33.506984,126.4684484,관광지,3,0.3138678480094276,0,0
사계해변,제주특별자치도 서귀포시 안덕면 사계리,33.237032,126.3020597,관광지,0,0.1118062012093819,0,0
신창풍차해안도로,제주특별자치도 제주시 한경면 신창리 1322-1,33.3433767,126.1739996,관광지,0,0.3217770781891998,0,0
우도,제주특별자치도 제주시 우도면 연평리,33.5033191,126.9556775,관광지,1,0.4116439420917675,0,0
제주허브동산,제주특별자치도 서귀포시 표선면 돈오름로 170,33.3298498,126.8148541,관광지,1,0.1741459002516407,0,0
금오름,제주특별자치도 제주시 한림읍 금악리 산 1-1,33.355577,126.3056877,관광지,0,0.3484746666106495,0,0
한라수목원,제주특별자치도 제주시 수목원길 72,33.4699272,126.4932445,관광지,3,0.2394864588659303,0,0
윈드1947카트테마파크,제주특별자치도 서귀포시 토평공단로 78-27,33.2894549,126.5876107,관광지,2,0.1849549684044453,0,0
서귀포치유의숲,제주특별자치도 서귀포시 산록남로 2271,33.3017887,126.5095926,관광지,2,0.2835837306840919,0,0
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 224-33,33.4526753,126.9241174,관광지,1,0.2894767716866527,0,0
송악산,제주특별자치도 서귀포시 대정읍 상모리 산 2,33.1994088,126.2907797,관광지,0,0.3646121008597443,0,0
삼양해수욕장,제주특별자치도 제주시 삼양이동 1960-4,33.5254973,126.5853116,관광지,3,0.2240253660546944,0,0
수월봉,제주특별자치도 제주시 한경면 고산리 3760,33.294755,126.1634484,관광지,0,0.2510495205381175,0,0
안돌오름,제주특별자치도 제주시 구좌읍 송당리 산 66-2,33.4575321,126.7558484,관광지,1,0.0287545133886723,0,0
항파두리항몽유적지,제주특별자치도 제주시 애월읍 항파두리로 50,33.4521245,126.4074522,관광지,0,0.1336993974460945,0,0
메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47,33.467852,126.7724183,관광지,1,0.1812562310012816,0,0
애월해안도로,제주특별자치도 제주시 애월읍 신엄리 2719-3,33.4786484,126.3696874,관광지,0,0.3905528821967816,0,0
한담해안산책로,제주특별자치도 제주시 애월읍 곽지리 1359,33.45906,126.3105995,관광지,0,0.3058508632326978,0,0
서우봉,제주특별자치도 제주시 조천읍 함덕리 169-3,33.5457607,126.6776978,관광지,3,0.3265364805976872,0,0
코난해변,제주특별자치도 제주시 구좌읍 행원리 575-6,33.5575318,126.8112241,관광지,1,0.1527469299261849,0,0
용눈이오름,제주특별자치도 제주시 구좌읍 종달리 산 28,33.4880673,126.8804954,관광지,1,0.2629463691439026,0,0
백약이오름,제주특별자치도 서귀포시 표선면 성읍리 산 1,33.4372808,126.7901747,관광지,1,0.2817331230088442,0,0
비양도,제주특별자치도 제주시 한림읍 협재리,33.3807358,126.2482491,관광지,0,0.1781143580997582,0,0
수목원테마파크,제주특별자치도 제주시 은수길 69,33.4721583,126.4880259,관광지,3,0.0863974395155951,0,0
스누피가든,제주특별자치도 제주시 구좌읍 금백조로 916 2층,33.4434495,126.7797614,관광지,1,0.3808359487939559,0,0
한라산1100고지,제주특별자치도 서귀포시 색달동 산 1-2,33.2569808,126.3864531,관광지,0,0.1279742515012585,0,0
소천지,제주특별자치도 서귀포시 보목동,33.2460103,126.6009132,관광지,2,0.2523494864805755,0,0
관덕정,제주특별자치도 제주시 관덕로 19,33.5133537,126.5214452,관광지,3,0.1869879252093796,0,0
이중섭거리,제주특별자치도 서귀포시 이중섭로 4-1,33.2476269,126.5641044,관광지,2,0.088505859322743,0,0
아부오름,제주특별자치도 제주시 구좌읍 송당리 2263,33.4487771,126.7772808,관광지,1,0.2292048335828566,0,0
김녕미로공원,제주특별자치도 제주시 구좌읍 만장굴길 122,33.5365289,126.7721332,관광지,1,0.2478850505916869,0,0
다랑쉬오름,제주특별자치도 제주시 구좌읍 세화리 산 6,33.4765321,126.8218552,관광지,1,0.3238496719969332,0,0
원앙폭포,제주특별자치도 서귀포시 돈내코로 137,33.3005301,126.5817449,관광지,2,0.1593642543300922,0,0
브릭캠퍼스제주,제주특별자치도 제주시 1100로 3047,33.4561511,126.48637,관광지,3,0.2200946976905524,0,0
군산,제주특별자치도 서귀포시 안덕면 창천리 산 3-1,33.2515773,126.3681156,관광지,0,0.5636839351125067,0,0
가파도,제주특별자치도 서귀포시 대정읍 가파리 276,33.1697902,126.2713039,관광지,0,0.2351701162788328,0,0
에코랜드테마파크,제주특별자치도 제주시 조천읍 번영로 1278-169,33.4555296,126.6681873,관광지,3,0.2564526537432189,0,0
논짓물해변,제주특별자치도 서귀포시 하예동,33.240031,126.3803208,관광지,0,0.0826898552142595,0,0
제주돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023,33.4486627,126.6589493,관광지,3,0.2622796445438933,0,0
제주불빛정원,제주특별자치도 제주시 애월읍 평화로 2346,33.4221679,126.4093068,관광지,0,0.1828268722129309,0,0
창꼼,제주특별자치도 제주시 조천읍 북촌리 403-9,33.5523047,126.6978053,관광지,1,0.216806557716655,0,0
청굴물,제주특별자치도 제주시 구좌읍 김녕리 1296,33.5579694,126.7513606,관광지,1,0.095478710856101,0,0
엉또폭포,제주특별자치도 서귀포시 강정동 5628,33.26505,126.4903182,관광지,2,0.071634892160005,0,0
따라비오름,제주특별자치도 서귀포시 표선면 가시리 산 63,33.3988071,126.7063341,관광지,1,0.267219086082071,0,0
송악산둘레길,제주특별자치도 서귀포시 대정읍 상모리,33.2218976,126.2741296,관광지,0,0.3550121319684857,0,0
서귀포자연휴양림,제주특별자치도 서귀포시 하원동 산 1-1,33.3401998,126.4792115,관광지,2,0.2292993389259429,0,0
선녀와나무꾼테마공원,제주특별자치도 제주시 조천읍 선교로 267,33.4786897,126.7030403,관광지,1,0.2026408513013613,0,0
돌염전,제주특별자치도 제주시 애월읍 구엄리,33.4797356,126.3819332,관광지,0,0.1186945176230464,0,0
형제해안도로,"제주특별자치도 서귀포시 안덕면 사계리 (군도14호선, 상모사계선)",33.2395779,126.2999173,관광지,0,0.1132059217060438,0,0
제주동백수목원,제주특별자치도 서귀포시 남원읍 위미리 927,33.3060336,126.6580882,관광지,2,0.1822756912826227,0,0
