CL_NM,TRRSRT_NM,ADDR,AVERAGE_VISITOR,Gas,Avg_Gas,price_per_person
테마관광,제주돌마을공원,금능남로 421,4.5,0.3552828047999999,0.07895173439999997,16293.3
테마관광,제주돌마을공원,421 제주돌마을공원,4.8,,,21302.3
테마관광,제주돌문화공원,남조로 2023,967.7,26.89446750454545,0.027792154081373824,11580.6
테마관광,제주무민랜드,병악로 420,17.3,,,8220.7
테마관광,제주민속촌,민속해안로 631-34,12.1,10.68145757163636,0.8827650885649884,10162.0
테마관광,제주유리의성,녹차분재로 462,13.7,23.45409057636364,1.7119774143331126,23500.0
테마관광,제주조각공원,일주서로 1836,7.9,3.5739364750909086,0.45239702216340616,7571.4
테마관광,제주해양동물박물관,서성일로 689-21,19.3,2.922076029545454,0.1514029030852567,7547.5
테마관광,초콜릿랜드,중문관광로110번길 15,4.0,18.949954884,4.737488721,12344.9
테마관광,카멜리아힐,병악로 166,624.4,3.68769097625,0.005905975298286355,3944.4
테마관광,캐릭파크,선교로 266,5.0,0.9227031836090908,0.18454063672181814,5184.2
테마관광,테디베어뮤지엄제주,중문관광로110번길 31,103.2,11.6917416557,0.11329207030717053,2630.7
테마관광,피규어뮤지엄,한창로 243,30.2,4.069009627272727,0.1347354181216135,12092.9
테마관광,하모씨워킹,최남단해안로 120,3.4,,,9129.4
테마관광,한림공원,한림로 300,75.5,20.802554221,0.2755305194834437,9255.3
테마관광,허브동산,돈오름로 170,17.1,8.2592994603,0.48299996843859644,5609.5
테마관광,헬로키티아일랜드,한창로 340,49.7,15.46090565090909,0.3110846207426376,7044.6
테마관광,화조원,애원로 804,47.8,,,2500.0
