CL_NM,TRRSRT_NM,ADDR,AVERAGE_VISITOR
자연,천제연폭포,서귀포시 천제연로 132,1979.2
자연,천지연폭포,서귀포시 남성중로 2-15,4432
체험,새별헤이요,제주시 애월읍 평화로 1529,3.7
키즈,공룡랜드,제주시 애월읍 광령평화2길 1,9
키즈,돈키쥬쥬,제주시 은수길 65,3
키즈,뽀로로앤타요 테마파크,서귀포시 안덕면 병악로 269,18.6
키즈,시크릿테마파크,제주시 애월읍 평화로 2157,2
키즈,액트몬(신화월드점),서귀포시 안덕면 신화역사로304번길 38,3.5
키즈,코코몽에코파크,서귀포시 남원읍 태위로 536 제주코코몽에코파크,6.4
테마관광,감귤박물관,서귀포시 효돈순환로 441,279.5
테마관광,건강과성박물관,서귀포시 안덕면 일주서로 1611 건강과 성 박물관,15.4
테마관광,공룡랜드,제주시 애월읍 광령평화2길 1,8.8
테마관광,그리스신화박물관,제주시 한림읍 광산로 942,6.6
테마관광,노리매테마파크,서귀포시 대정읍 중산간서로 2260-15,3.9
테마관광,다이나믹메이즈에피소드3,서귀포시 표선면 번영로 2644,8.3
테마관광,더마파크,제주시 한림읍 월림7길 155,28.2
테마관광,더마파크,제주시 한림읍 월림7길 155 더마파크,29.5
테마관광,메이즈랜드,제주시 구좌읍 비자림로 2134-47,113.8
테마관광,메이즈랜드,제주시 구좌읍 비자림로 2134-47 메이즈랜드,208.8
테마관광,방림원,제주시 한경면 용금로 864,11.5
테마관광,브릭캠퍼스,제주시 1100로 3047,11.5
테마관광,브릭캠퍼스,제주시 1100로 3047 브릭캠퍼스,24.9
테마관광,뽀로로앤타요 테마파크,서귀포시 안덕면 병악로 269,27.8
테마관광,상효원,서귀포시 산록남로 2847-37,6.1
테마관광,생각하는정원(분재예술원),제주시 한경면 녹차분재로 675,3.7
테마관광,센트럴파크,제주시 조천읍 비자림로 606,4.2
테마관광,소인국테마파크,서귀포시 안덕면 중산간서로 1878,12.1
테마관광,쇠소깍산물관광농원,서귀포시 남원읍 하례로 90,3.2
테마관광,스누피가든,제주시 구좌읍 금백조로 930,757.1
테마관광,신화테마파크제주,서귀포시 안덕면 신화역사로304번길 98 신화테마파크,25.5
테마관광,아이스뮤지엄,제주시 은수길 69,17.3
테마관광,아프리카박물관,서귀포시 이어도로 49,9.5
테마관광,여미지식물원,서귀포시 중문관광로 93,59.6
테마관광,오설록 티뮤지엄,서귀포시 안덕면 신화역사로 15 오설록,29.1
테마관광,유리박물관,서귀포시 중산간서로 1403,3.8
테마관광,일출랜드,서귀포시 성산읍 중산간동로 4150-30,6.8
테마관광,점보빌리지,서귀포시 안덕면 평화로319번길 31-11,12
테마관광,제주돌마을공원,제주시 한림읍 금능남로 421,4.5
테마관광,제주돌마을공원,제주시 한림읍 금능남로 421 제주돌마을공원,4.8
테마관광,제주돌문화공원,제주시 조천읍 남조로 2023,967.7
테마관광,제주무민랜드,서귀포시 안덕면 병악로 420,17.3
테마관광,제주민속촌,서귀포시 표선면 민속해안로 631-34,12.1
테마관광,제주유리의성,제주시 한경면 녹차분재로 462,13.7
