place,address,Latitude,Longitude,category,k_means_cluster,인기지수
라마다프라자제주호텔,제주특별자치도 제주시 탑동로 66,33.5185924,126.5175016,호텔,3,0.3019653146336438
호텔리젠트마린,제주특별자치도 제주시 서부두2길 20,33.5176225,126.5271105,호텔,3,0.3629374843487913
롯데시티호텔제주,제주특별자치도 제주시 도령로 83,33.4909762,126.4869677,호텔,3,0.3563259540277629
오션스위츠제주호텔,제주특별자치도 제주시 탑동해안로 74,33.5182319,126.5231737,호텔,3,0.2013135877690167
캠퍼트리호텔앤리조트,제주특별자치도 제주시 해안마을서4길 100,33.4536956,126.4503561,호텔,3,0.2214768465723492
호텔레오,제주특별자치도 제주시 삼무로 14,33.4898758,126.4908867,호텔,3,0.3090757455823569
아이진호텔,제주특별자치도 제주시 신대로22길 4,33.4824642,126.4925609,호텔,3,0.1897415699235267
제주팔레스호텔,제주특별자치도 제주시 탑동로 9,33.5168631,126.5237566,호텔,3,0.1655858647389283
호텔난타,제주특별자치도 제주시 선돌목동길 56-26,33.4446301,126.5445663,호텔,3,0.3338314536075968
아스타호텔,제주특별자치도 제주시 서사로 129,33.5037539,126.5197792,호텔,3,0.2388390653497062
아시아호텔,제주특별자치도 제주시 노연로 53,33.4858355,126.4888236,호텔,3,0.1358788412633182
제주노블레스관광호텔,제주특별자치도 제주시 월성로4길 19,33.5004485,126.501107,호텔,3,0.1445278888963832
벤티모호텔앤레지던스,제주특별자치도 제주시 연삼로 14,33.4934631,126.4938054,호텔,3,0.3739209831567851
제주샹그릴라호텔앤리조트,제주특별자치도 제주시 해안마을북길 14-6,33.4644646,126.4541427,호텔,3,0.0568672174749537
호텔앨리스&트렁크,제주특별자치도 제주시 연동12길 4,33.4853318,126.4930596,호텔,3,0.1982905982905983
하이레지던스,제주특별자치도 제주시 은남1길 46,33.4892043,126.493827,호텔,3,0.2960507308264191
심스호텔,제주특별자치도 제주시 임항로 249,33.5183479,126.5387193,호텔,3,0.1358276929653682
제주갤럭시호텔,제주특별자치도 제주시 남성로 33,33.5061052,126.5164431,호텔,3,0.2388754468809063
팜파스호텔제주,제주특별자치도 제주시 서해안로 368-3,33.5108295,126.4852691,호텔,3,0.1425950871233952
하버호텔,제주특별자치도 제주시 임항로 260 1층,33.5183479,126.5387193,호텔,3,0.2652709098737649
어반스테이제주연동,제주특별자치도 제주시 연동6길 5,33.483508,126.4889909,호텔,3,0.1462256040809656
호텔엘린,제주특별자치도 제주시 은남1길 4,33.4893299,126.4954791,호텔,3,0.3678538695995055
에코랜드호텔,제주특별자치도 제주시 조천읍 남조로 1982,33.4487209,126.6758577,호텔,3,0.1092146984167801
제주썬호텔&카지노,제주특별자치도 제주시 삼무로 67,33.4901102,126.494027,호텔,3,0.3361823361823361
이화호텔,제주특별자치도 제주시 도령로 155,33.4909762,126.4869677,호텔,3,0.0207492879884441
호텔펄리플러스,제주특별자치도 제주시 도두봉2길 2,33.5066951,126.4744285,호텔,3,0.1723295038756385
뜨레비호텔,제주특별자치도 제주시 연동7길 8,33.4891722,126.4906668,호텔,3,0.075493246939631
오션패밀리호텔,제주특별자치도 제주시 일주서로 7531,33.4952516,126.4510142,호텔,3,0.1208359705967216
참피온호텔,제주특별자치도 제주시 남성로 131,33.5091756,126.5194628,호텔,3,0.1445316351615862
제주해군호텔,제주특별자치도 제주시 해안마을서2길 19,33.4590325,126.448717,호텔,3,0.2888212206739519
썬랜드호텔,제주특별자치도 제주시 신광로 92,33.4839765,126.4896294,호텔,3,0.1295243475329044
라인호텔,제주특별자치도 제주시 동광로 40,33.5022343,126.533247,호텔,3,0.2122604338525364
호텔B,제주특별자치도 제주시 신대로12길 16,33.4888415,126.4949775,호텔,3,0.1538461538461538
레슬리호텔,제주특별자치도 제주시 광평길 3,33.4810005,126.4687995,호텔,3,0.1993321960094987
해마호텔,제주특별자치도 제주시 삼무로 28,33.4897057,126.4896117,호텔,3,0.1028214404959346
메르블루호텔,제주특별자치도 제주시 서해안로 368 1~4층,33.5108295,126.4852691,호텔,3,0.1582700547456537
인덱스제이드림호텔,제주특별자치도 제주시 은남1길 40,33.4894038,126.4916193,호텔,3,0.131060026237766
베드라디오도두봉,제주특별자치도 제주시 서해안로 204,33.5110314,126.4802212,호텔,3,0.3456124706801146
몽듀호텔,제주특별자치도 제주시 서해안로 382,33.5110314,126.4802212,호텔,3,0.2193210574920305
퓨어스테이,제주특별자치도 제주시 신대로 68,33.4913572,126.4964178,호텔,3,0.0836386952845806
에이원호텔,제주특별자치도 제주시 사장1길 10,33.4853028,126.4948225,호텔,3,0.125203459215736
호텔메이저2,제주특별자치도 제주시 은남4길 40,33.4865654,126.4915932,호텔,3,0.1566227108060419
하니크라운호텔,제주특별자치도 제주시 삼성로 10,33.5049614,126.5273789,호텔,3,0.1517272492081225
호텔펄리,제주특별자치도 제주시 노형로 79,33.4752619,126.4659069,호텔,3,0.1586251607448615
호텔W신제주점,제주특별자치도 제주시 은남4길 42,33.4865472,126.4913557,호텔,3,0.3333333333333333
오로라호텔,제주특별자치도 제주시 논세길 51,33.4884026,126.440658,호텔,3,0.3150169710869491
헤르츠호텔,제주특별자치도 제주시 중앙로 252,33.4973671,126.5312232,호텔,3,0.102791289503403
레브호텔,제주특별자치도 제주시 은남1길 15,33.4892043,126.493827,호텔,3,0.1076381104689278
제주골프호텔,제주특별자치도 제주시 과원북4길 97,33.4810497,126.4920449,호텔,3,0.1112574150637411
메이저호텔,제주특별자치도 제주시 사장3길 36,33.4830253,126.4911069,호텔,3,0.127017225025782
아이존호텔,제주특별자치도 제주시 신광로4길 18,33.4890384,126.4882686,호텔,3,0.284081463009144
씨앤하우스,제주특별자치도 제주시 조천읍 조천9길 10,33.537825,126.6370349,호텔,3,0.3366775316076737
탐라지오호텔,제주특별자치도 제주시 신광로 79,33.4850171,126.4902396,호텔,3,0.1145419925968554
i마이다스레지던스호텔,제주특별자치도 제주시 조천읍 함덕8길 13-1,33.5422075,126.6624988,호텔,3,0.339031339031339
