place,address,Latitude,Longitude,category,k_means_cluster,인기지수
맛나식당,제주특별자치도 서귀포시 성산읍 동류암로 41,33.4485794,126.9160712,식당,1,0.1829231554856518
곰막식당,제주특별자치도 제주시 구좌읍 구좌해안로 64,33.5570179,126.7278068,식당,1,0.2041089090165276
상춘재,제주특별자치도 제주시 조천읍 선진길 26 1층,33.4586588,126.7048435,식당,1,0.2416913450964434
해왓,제주특별자치도 서귀포시 성산읍 신고로 30-1,33.43851,126.9171019,식당,1,0.2013801290129051
당케올레국수,제주특별자치도 서귀포시 표선면 민속해안로 584,33.3229914,126.8248631,식당,1,0.1389821487898377
만덕이네,제주특별자치도 서귀포시 표선면 서성일로 16,33.3933279,126.8012316,식당,1,0.1172065350906507
치저스,제주특별자치도 제주시 구좌읍 비자림로 1785,33.467852,126.7724183,식당,1,0.2548444132732355
해월정,제주특별자치도 제주시 구좌읍 해맞이해안로 2340,33.5291668,126.8538817,식당,1,0.2010996344844682
산도롱맨도롱,제주특별자치도 제주시 구좌읍 해맞이해안로 2284 1층,33.5291668,126.8538817,식당,1,0.0352518220955836
소금바치순이네,제주특별자치도 제주시 구좌읍 해맞이해안로 2196,33.5291668,126.8538817,식당,1,0.2472520620997204
복자씨연탄구이,제주특별자치도 서귀포시 성산읍 해맞이해안로 2764,33.4692355,126.9198688,식당,1,0.2699489390433338
가시식당,제주특별자치도 서귀포시 표선면 가시로565번길 22,33.3531055,126.7715294,식당,1,0.1142808396706973
제주판타스틱버거,제주특별자치도 서귀포시 표선면 토산중앙로15번길 6,33.3084898,126.7790718,식당,1,0.2074727374780114
촌촌해녀촌,제주특별자치도 제주시 구좌읍 동복로 35,33.5534723,126.710211,식당,1,0.098790935364123
만월당,제주특별자치도 제주시 구좌읍 월정1길 56 1층,33.5561414,126.7930377,식당,1,0.2481635585853776
고등어쌈밥,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 122-5,33.4494963,126.920717,식당,1,0.0509455554415574
부촌,제주특별자치도 서귀포시 성산읍 동류암로 33,33.4489266,126.9170058,식당,1,0.218855309422504
코코마마성산점,제주특별자치도 서귀포시 성산읍 일출로 258-11,33.4610216,126.9343367,식당,1,0.2064881820759024
성산일출봉청운식당,제주특별자치도 서귀포시 성산읍 일출로 285 1층,33.4630532,126.9348949,식당,1,0.3018159037116524
재연식당,제주특별자치도 제주시 구좌읍 세화3길 27-2,33.5251868,126.8561005,식당,1,0.153886671655149
시흥해녀의집,제주특별자치도 서귀포시 성산읍 시흥하동로 114,33.4779795,126.9083492,식당,1,0.2253661528882583
남양수산,제주특별자치도 서귀포시 성산읍 고성동서로56번길 11,33.4501348,126.9142244,식당,1,0.1965054546253786
표선우동가게,제주특별자치도 서귀포시 표선면 표선관정로 105-1,33.3240774,126.8314,식당,1,0.198938681541875
선흘곶,제주특별자치도 제주시 조천읍 동백로 102,33.5081874,126.718049,식당,1,0.1993341281201427
돌집식당,제주특별자치도 서귀포시 표선면 서성일로 23,33.3940309,126.8006415,식당,1,0.2164061779179173
민경이네어등포해녀촌,제주특별자치도 제주시 구좌읍 해맞이해안로 830 1층,33.5291668,126.8538817,식당,1,0.0862416622857031
금박돈,제주특별자치도 서귀포시 성산읍 일출로 261 1층,33.4613726,126.9335321,식당,1,0.1876590172209255
연미정,제주특별자치도 제주시 구좌읍 세평항로 14,33.5261548,126.8546643,식당,1,0.2257166832347927
제주김만복성산점,제주특별자치도 서귀포시 성산읍 성산등용로17번길 55 성산리치유클래시아 상가 1층 108호,33.4607468,126.9297175,식당,1,0.1439418674125872
칠돈가표선직영점,제주특별자치도 서귀포시 표선면 표선당포로 13-1,33.3258601,126.8441421,식당,1,0.0387097441323277
커큐민흑돼지,제주특별자치도 서귀포시 성산읍 일출로 84,33.4542884,126.9242718,식당,1,0.1379662138890909
이스트포레스트,제주특별자치도 제주시 구좌읍 종달로1길 26-1 1층,33.4958799,126.8988279,식당,1,0.218717211731746
김녕오라이,제주특별자치도 제주시 구좌읍 김녕로21길 21,33.5577318,126.7552547,식당,1,0.269067622795616
성산갈치조림순덕이네,제주특별자치도 서귀포시 성산읍 온평서로 48,33.4098171,126.8970456,식당,1,0.1193007150716328
섭지코지해녀밥상,제주특별자치도 서귀포시 성산읍 신양로122번길 60-6,33.4357261,126.9175484,식당,1,0.1960017161021999
한라전복성산본점,제주특별자치도 서귀포시 성산읍 해맞이해안로 2732,33.4709507,126.9170084,식당,1,0.2362396045431291
하하호호우도본점,제주특별자치도 제주시 우도면 우도해안길 532,33.5208272,126.948574,식당,1,0.1256168466772096
어조횟집,제주특별자치도 서귀포시 성산읍 일출로 233,33.460409,126.9308418,식당,1,0.1792265761172009
천리식당천리민박,제주특별자치도 제주시 구좌읍 송당6길 30,33.4686317,126.7846454,식당,1,0.2095731416588572
꽃가람,제주특별자치도 서귀포시 성산읍 고성동서로 73,33.4509234,126.9150116,식당,1,0.1944269701504533
제주오누이,"제주특별자치도 제주시 구좌읍 해맞이해안로 972 1,2층",33.5291668,126.8538817,식당,1,0.1912314950924944
성산흑돼지두루치기,제주특별자치도 서귀포시 성산읍 한도로 255,33.4661549,126.9348021,식당,1,0.1885624431340539
돈사돈월정점,제주특별자치도 제주시 구좌읍 한동북1길 29-3 1층,33.5411284,126.8280985,식당,1,0.1258507672765236
동복뚝배기,제주특별자치도 제주시 구좌읍 동복로 30-2 1층,33.5532201,126.7123162,식당,1,0.2473576208605586
종달수다뜰,제주특별자치도 제주시 구좌읍 용눈이오름로 8,33.4918686,126.893156,식당,1,0.1752601776975679
달이뜨는식탁,제주특별자치도 제주시 구좌읍 월정1길 14,33.5562274,126.793166,식당,1,0.3382207524612624
섬소나이,제주특별자치도 제주시 우도면 우도해안길 814,33.5074342,126.954269,식당,1,0.2672806200267256
흑돼지제주정,제주특별자치도 서귀포시 표선면 민속해안로 577,33.3248304,126.8439441,식당,1,0.2694054882297717
그리운바다성산포,제주특별자치도 서귀포시 성산읍 성산등용로 94,33.4697602,126.9300546,식당,1,0.1896898950173925
선흘방주할머니식당,제주특별자치도 제주시 조천읍 선교로 212,33.4727191,126.7061921,식당,1,0.2302570692504027
모메존흑돼지,제주특별자치도 제주시 구좌읍 세화1길 17 1층,33.5253289,126.8544273,식당,1,0.175735849237523
다미진횟집,제주특별자치도 서귀포시 표선면 민속해안로 578-1,33.3250737,126.8441192,식당,1,0.3091044073666429
성읍칠십리식당,제주특별자치도 서귀포시 표선면 성읍정의현로 74,33.3892637,126.8012691,식당,1,0.1092601524276942
갈치공장,제주특별자치도 제주시 구좌읍 해맞이해안로 1296,33.5291668,126.8538817,식당,1,0.3075990069995106
청파식당횟집,제주특별자치도 제주시 구좌읍 세평항로 12 1층,33.5244994,126.8536448,식당,1,0.2734128944418749
