place,address,Latitude,Longitude
데미안,제주특별자치도 제주시 한경면 고조로 492-15 1층,33.3158471,126.2025732
부두식당,제주특별자치도 서귀포시 대정읍 하모항구로 62,33.2187678,126.2511222
돈이랑 본점,제주특별자치도 서귀포시 일주서로 953,33.257733,126.4087182
바당길,제주특별자치도 제주시 한림읍 한림서길 18,33.4097548,126.2585778
자리돔횟집,제주특별자치도 서귀포시 동홍동로 7,33.2555395,126.5747673
소금바치순이네,제주특별자치도 제주시 구좌읍 해맞이해안로 2196,33.5291668,126.8538817
은희네해장국 서귀포점,제주특별자치도 서귀포시 516로 84,33.3384938,126.61069
시골길,제주특별자치도 제주시 연동13길 9,33.4888428,126.494786
복자씨연탄구이,제주특별자치도 서귀포시 성산읍 해맞이해안로 2764,33.4692355,126.9198688
로빙화,"제주특별자치도 서귀포시 남원읍 남태해안로 13 1, 2층",33.2751317,126.7093291
은희네해장국 함덕점,제주특별자치도 제주시 조천읍 조함해안로 480,33.5430105,126.6642252
애월흑돼지 애월그때그집 본점,제주특별자치도 제주시 애월읍 애월해안로 97 1층,33.4782235,126.3665625
깡촌흑돼지,제주특별자치도 제주시 조천읍 함덕14길 2,33.5412881,126.6671156
천짓골식당,제주특별자치도 서귀포시 중앙로41번길 4,33.2482417,126.5613677
바다속고등어쌈밥,제주특별자치도 제주시 애월읍 일주서로 7089,33.4842697,126.4068534
가시식당,제주특별자치도 서귀포시 표선면 가시로565번길 22,33.3531055,126.7715294
산지물 본점,제주특별자치도 제주시 임항로 26,33.5162775,126.5275789
몬스터살롱,제주특별자치도 제주시 애월읍 일주서로 6017,33.4482531,126.3072817
제주판타스틱버거,제주특별자치도 서귀포시 표선면 토산중앙로15번길 6,33.3084898,126.7790718
한림칼국수 공항점,제주특별자치도 제주시 광평중길 82,33.4788593,126.4676751
난드르바당,제주특별자치도 서귀포시 하예하동로16번길 11-1,33.2346331,126.3712777
갈치요리전문점 만족한상회,제주특별자치도 서귀포시 중문상로 58-5 1층,33.2532837,126.4267136
남춘식당,제주특별자치도 제주시 청귤로 12,33.4996504,126.5375918
진아떡집,제주특별자치도 제주시 동문로4길 7-1,33.5123688,126.5284577
봉순이네흑돼지,제주특별자치도 서귀포시 대정읍 영어도시로 64 1층,33.2798179,126.2737676
촌촌해녀촌,제주특별자치도 제주시 구좌읍 동복로 35,33.5534723,126.710211
제주늘봄,제주특별자치도 제주시 고사마루길 6,33.4797692,126.4717107
제주한라국수,제주특별자치도 서귀포시 천제연로188번길 17,33.2502561,126.4245006
곱들락,제주특별자치도 제주시 조천읍 함덕18길 19 101호,33.5386457,126.6711623
태광식당,제주특별자치도 제주시 탑동로 142,33.5126542,126.5187352
안녕협재씨 제주협재점,제주특별자치도 제주시 한림읍 금능길 12 1층,33.3881374,126.2294884
은희네해장국 2호점,제주특별자치도 제주시 연북로 178,33.481375,126.5003537
제주약수터 본점,제주특별자치도 서귀포시 중앙로 35 1층,33.2477094,126.5617231
오롯,제주특별자치도 제주시 신설로11길 2-10 1층,33.4912804,126.5445739
장수물식당,제주특별자치도 제주시 연문2길 18,33.491902,126.4986712
닻,제주특별자치도 제주시 애월읍 하귀2리 2726,33.4860879,126.3921047
황해식당,제주특별자치도 제주시 우정로 6 1층,33.4923356,126.4307048
하원가흑돼지,제주특별자치도 서귀포시 이어도로 278,33.240469,126.493008
정직한돈 본점,제주특별자치도 제주시 애월읍 애월해안로 253,33.4675271,126.339144
골목,제주특별자치도 제주시 조천읍 함덕7길 6-14,33.5438536,126.6618188
만월당,제주특별자치도 제주시 구좌읍 월정1길 56 1층,33.5561414,126.7930377
고등어쌈밥,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 122-5,33.4494963,126.920717
공천포식당,제주특별자치도 서귀포시 남원읍 공천포로 89,33.2664055,126.6426731
식당마요네즈,제주특별자치도 제주시 다랑곶3길 18 1층,33.4888858,126.4787446
순수한둠비,제주특별자치도 제주시 서문로 37-11 1층,33.5111219,126.5145499
더꽃돈 협재점,제주특별자치도 제주시 한림읍 한림로 366 1층,33.3953254,126.2426345
부촌,제주특별자치도 서귀포시 성산읍 동류암로 33,33.4489266,126.9170058
제주본참숯불갈비,제주특별자치도 제주시 원노형남1길 31,33.4840958,126.4838238
제주순풍 신제주본점,제주특별자치도 제주시 진군남4길 7-8,33.4751419,126.4804727
제주육대표,제주특별자치도 제주시 일주서로 7895,33.49416,126.490252
오현돼지불백,제주특별자치도 제주시 성지로 58-2,33.5110174,126.5296752
대춘해장국 본점,제주특별자치도 제주시 연북로 398 1층,33.4858923,126.518754
공항흑돼지 시청그때그집,제주특별자치도 제주시 동광로1길 11 1층,33.501931,126.5289562
미스칠,제주특별자치도 제주시 일주서로 7831 1층,33.4870785,126.4162422
용두암해촌,제주특별자치도 제주시 서해안로 614,33.5169913,126.5028155
제주국담,제주특별자치도 제주시 신대로12길 17,33.4885955,126.4947633
순천미향,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-73,33.2356687,126.3125597
88버거,제주특별자치도 서귀포시 동문로 63,33.2492549,126.5672067
돈블랙 서귀포본점,제주특별자치도 서귀포시 서호남로32번길 24,33.2541205,126.560076
바다를본돼지 제주노형점,제주특별자치도 제주시 정존15길 42 1층,33.4873081,126.476879
대기정,제주특별자치도 서귀포시 이어도로 41,33.2403093,126.4286681
산지물 신제주점,제주특별자치도 제주시 신대로10길 53,33.4907865,126.4910735
코코분식,제주특별자치도 제주시 신성로 104,33.4967757,126.530085
코코마마 성산점,제주특별자치도 서귀포시 성산읍 일출로 258-11,33.4610216,126.9343367
가람돌솥밥,제주특별자치도 서귀포시 중문관광로 332,33.2496037,126.431444
성산일출봉 청운식당,제주특별자치도 서귀포시 성산읍 일출로 285 1층,33.4630532,126.9348949
제주미담,제주특별자치도 제주시 가령로 19,33.5023425,126.5373625
큰돈가 본점,제주특별자치도 서귀포시 대정읍 형제해안로 296,33.210157,126.2914269
재연식당,제주특별자치도 제주시 구좌읍 세화3길 27-2,33.5251868,126.8561005
문치비,제주특별자치도 서귀포시 신서로32번길 14 1층,33.2533714,126.5056409
나원회포차,제주특별자치도 서귀포시 동문동로 4,33.2496757,126.5675722
오가네전복설렁탕 서귀포본점,제주특별자치도 서귀포시 중산간동로 7738,33.2682594,126.589636
