place,insta,Naver_rate,Naver_review_num,kakao_rate,kakao_review_num
동명정류장,"6,790",4.85,449,5.0,47
알마커피제작소,"2,440",4.54,326,4.8,84
노바운더리제주,772,0.0,327,3.5,15
간세라운지,745,4.5,158,4.5,2
모앙,"6,774",4.52,298,4.2,42
회춘애월점,"1,825",0.0,169,3.9,37
서귀피안베이커리,"2,848",0.0,5402,4.0,64
디피159,"2,913",4.65,619,4.2,12
스타벅스제주외도DT점,0,4.45,2697,4.0,44
사일리커피,"2,530",4.67,665,4.7,120
에이바우트커피한라대점,19,4.3,851,3.5,24
카카듀,"6,586",4.36,465,3.8,43
이에르바,"6,770",4.6,260,4.0,21
무로이,"6,137",4.52,2027,3.9,31
조아찌커피,322,4.48,247,4.0,23
커피99.9,0,4.57,78,4.0,43
롱플레이제주,314,0.0,130,4.6,13
너와의첫여행,0,4.59,868,4.2,25
인카페온더비치,"3,151",4.47,608,4.3,49
바람벽에흰당나귀,"6,517",4.36,454,3.8,61
델문도로스터스,757,4.41,520,4.1,22
카페희상,"12,642",0.0,123,4.2,43
순아,527,0.0,0,4.9,43
속솜,"1,250",4.58,224,4.5,79
카페주비,933,4.72,1105,4.7,41
그러므로,"15,645",0.0,0,4.4,21
인디고인디드,"1,309",4.56,238,4.5,63
우호적무관심,"4,756",4.48,520,4.0,39
하라케케,"7,220",0.0,672,4.4,22
카페바르941,482,4.8,298,4.9,34
플레이스엉물,"5,188",4.63,586,4.2,76
씨리얼,"90,232",0.0,0,4.0,40
오버더윈도우,"3,973",4.55,122,4.3,56
다랑쉬,"3,973",0.0,0,4.2,29
커피주의보,"3,049",4.5,241,4.6,28
너븐,"4,997",4.55,677,4.2,38
바램,"81,154",0.0,0,3.9,28
말리가,"2,135",4.76,132,4.5,21
시인의집,"4,601",4.56,186,4.5,35
숑,"10,390",4.62,120,4.6,60
카페닐스,"3,996",4.67,128,4.8,36
카페유디에이,320,4.67,1038,4.5,36
과수원피스,"4,388",4.87,214,4.8,77
먹쿠슬낭여행자카페,954,4.74,1697,4.3,20
귤꽃다락,"10,105",4.66,1087,4.5,68
스타벅스제주신화월드R점,0,4.45,3378,3.9,23
까미노,"58,230",0.0,0,4.4,66
스타벅스제주노형공원점,43,4.47,2279,3.8,11
카페세바,"19,573",4.49,85,4.1,29
하소로커피,"3,511",4.58,284,4.7,41
동백정원,"4,451",0.0,0,4.8,40
카페더라이트,"10,234",4.53,1016,4.4,44
색달로망스,"2,395",4.64,216,4.8,29
카페두가시,"3,539",4.56,177,4.7,39
카페2472,939,4.48,182,4.7,42
"오른(orrrn,오알엔)",0,0.0,0,4.1,64
살롱드라방,"24,622",4.63,305,3.9,42
노을리카페,"3,700",4.64,1886,3.7,53
모찌롱(휴업중),0,0.0,0,4.1,17
카페오드리,"3,826",0.0,148,4.5,31
블루모모,"1,788",4.67,144,4.1,21
카페훤,"2,013",4.45,302,4.3,74
카페살레,"2,594",4.55,943,4.7,82
오늘도화창,"5,993",4.63,353,4.9,49
제주몹시,"2,079",4.54,245,4.5,20
카페송키,"2,833",0.0,111,4.4,34
리치망고애월본점,751,4.46,1845,3.8,61
에이바우트커피신라신성점,0,4.48,1146,4.4,18
위더스트래블아라점,177,0.0,305,3.6,18
투썸플레이스제주애월한담점,121,4.33,3866,3.7,49
쉬리니케이크,"3,974",4.61,248,4.6,67
소보리당로222,"6,262",4.7,296,4.3,29
픽스커피본점,0,0.0,0,4.2,35
카페곁에,"2,989",4.69,72,4.6,46
어니스트밀크본점,554,4.62,910,4.7,78
카페월령,"3,083",0.0,0,4.2,26
비자블라썸,"2,055",4.6,480,4.6,55
블루마운틴4255,126,0.0,0,3.7,13
토끼문,"1,340",4.38,987,4.6,47
봉꾸라주,"1,914",4.4,142,4.3,23
고요새,"5,244",4.6,824,4.1,30
스타벅스제주삼화DT점,0,4.51,2147,4.5,16
에이바우트커피뷰하귀포구점,39,4.4,960,4.4,66
매기의추억,"5,236",4.41,278,4.2,44
카페인사리,"2,232",4.64,213,4.7,25
카페동경앤책방,"1,314",4.61,179,4.2,27
김녕에사는김영훈,"1,844",4.75,280,4.7,74
네이처캔버스,"2,038",4.73,346,4.7,32
큐티파이카페,"1,949",4.42,761,3.6,25
고미미,"2,198",4.42,406,4.4,31
여섯번의보름,"8,057",4.5,281,4.2,34
쉬어갓,"5,346",4.63,486,3.9,44
노론존,"1,003",4.58,159,4.7,27
카페어떤오후,"4,201",4.57,66,4.5,19
카페폴린,"1,246",4.55,263,4.5,22
리듬앤브루스,"2,668",0.0,0,4.1,48
소라의성,"1,381",0.0,0,4.1,31
헤이브라더,"5,397",4.29,234,4.0,25
스타벅스제주서해안로DT점,0,0.0,0,4.1,61
카페아오오,"3,017",4.41,1513,4.4,65
리틀포레스트,"221,254",0.0,0,3.9,44
카페코지,"16,150",4.35,342,3.7,23
트라이브,"4,619",0.0,0,4.5,72
롱리브,"4,961",4.56,108,4.6,28
카페미와,"2,745",4.69,455,4.5,67
다린,"10,939",4.57,331,4.8,24
