place,insta,Naver_review_num,Naver_rate,kakao_rate,kakao_review_num
일출랜드,22647,2305,4.29,3.5,31
별방진,9704,0,0.0,4.3,18
마방목지,12252,0,0.0,4.0,30
엉덩물계곡,11658,0,0.0,4.0,35
동백동산,11718,523,0.0,4.4,17
백록담,174907,1732,0.0,4.8,45
용연계곡,3717,2,0.0,4.5,15
하례감귤체험농장,3316,3137,0.0,4.7,93
곶자왈,46702,0,0.0,3.9,12
한라산국립공원관음사탐방로,0,0,0.0,5.0,12
서귀다원,10526,0,0.0,3.6,97
유채꽃프라자,8874,0,0.0,4.3,19
검멀레해변,43705,39,4.37,4.5,54
우도산호해변,1299,0,0.0,4.6,48
수월봉전망대,1500,0,0.0,4.1,16
산양큰엉곶,6644,553,0.0,4.0,14
닭머르해안길1코스,0,0,0.0,4.5,11
삼다수숲길,5884,0,0.0,4.3,20
한라산성판악탐방안내소,0,0,0.0,4.8,6
알뜨르비행장,0,0,0.0,4.6,24
상가리야자숲,5017,0,0.0,3.7,15
신창풍차해안,9739,326,0.0,4.6,50
수월봉지질트레일,0,0,0.0,3.9,8
돈내코유원지,2760,4,0.0,4.3,19
수산봉,7007,2,0.0,4.0,20
평대리해수욕장,3124,0,0.0,4.5,27
머체왓숲길방문객지원센터,0,0,0.0,4.6,21
5.16도로숲터널,0,266,0.0,4.5,13
아끈다랑쉬오름,12989,0,0.0,4.6,27
방림원,5355,779,4.38,4.3,29
제주유채꽃도로,0,0,0.0,4.4,37
큰노꼬메오름,3680,1,0.0,4.9,63
황우지선녀탕,12257,0,0.0,4.1,69
영주산,8548,479,0.0,4.5,33
오늘은카트레이싱,1237,1059,4.26,3.6,10
하고수동해변,6498,10,4.83,4.8,51
흑돼지거리,9474,135,0.0,3.5,4
제주올레여행자센터,2044,0,0.0,4.2,32
태웃개,2920,0,0.0,4.2,9
신화워터파크,7585,2312,4.19,3.6,18
용담해안도로,63912,0,0.0,4.5,13
엉알해안,2820,108,0.0,4.6,29
세리월드,4300,2983,4.11,3.8,22
위미동백나무군락,1050,0,0.0,3.5,20
문도지오름,8724,0,0.0,4.6,44
신양섭지해수욕장,3001,11,4.17,3.7,22
차귀도,60707,2,0.0,4.6,13
