place,insta,Naver_rate,Naver_review_num,kakao_rate,kakao_review_num
88버거,"12,311",4.71,3865,4.1,259
돈블랙서귀포본점,42,4.85,1708,4.5,79
바다를본돼지제주노형점,0,4.42,713,3.5,11
대기정,"6,820",4.55,2272,4.1,147
산지물신제주점,48,4.11,424,3.8,123
코코분식,"2,581",4.32,461,3.8,50
코코마마성산점,"1,411",4.53,3139,3.9,173
가람돌솥밥,"10,311",4.45,4166,3.6,161
성산일출봉청운식당,"8,915",0.0,968,4.6,676
제주미담,"1,662",4.3,780,3.8,99
큰돈가본점,704,4.61,750,4.1,91
재연식당,"4,450",4.5,841,3.7,93
문치비,"5,227",4.63,2484,4.1,59
나원회포차,980,4.82,2135,4.6,84
오가네전복설렁탕서귀포본점,0,0.0,0,4.7,319
시흥해녀의집,"1,341",4.38,473,4.5,182
도갈비,"1,260",4.73,487,4.6,87
포도원흑돼지,"3,148",4.36,496,4.1,76
낭쿰낭쿰,"1,022",0.0,0,4.6,145
홍성방,"9,612",4.5,1211,4.3,123
낭뜰에쉼팡,"3,563",4.4,1404,3.9,86
돈사돈별관,675,4.44,907,3.7,81
잇칸시타,"6,306",4.53,898,4.3,83
형제도식당본점,26,4.66,1566,4.4,88
논짓물,"14,057",0.0,0,3.7,33
정직한돈협재직영점,13,4.76,1526,4.6,176
남양수산,"3,542",4.64,516,4.0,69
칠돈가서광직영점,297,4.31,426,4.2,74
램앤블랙(구.램하우스),0,0.0,0,4.8,440
서서방숯불닭갈비,"3,328",0.0,0,4.2,89
태하횟집,"1,841",4.38,240,4.7,68
노조미,"7,121",4.44,487,4.3,88
제주예찬,"3,145",4.53,1239,3.6,89
표선우동가게,915,4.49,582,4.2,62
선흘곶,"4,301",4.49,935,4.1,117
돌집식당,"2,601",4.52,577,4.3,78
제주돗,"10,616",4.57,569,4.1,64
민경이네어등포해녀촌,"3,290",0.0,993,3.8,69
탐라우돈정육식당,296,4.75,589,4.6,334
중문흑돼지천국,286,4.81,1548,4.7,250
솔동산고기국수,"1,201",4.4,718,4.0,105
김지순의낭푼밥상,888,4.29,268,3.9,53
금박돈,"1,795",4.43,653,4.1,151
뚱보아저씨,"2,637",4.47,1460,4.0,188
도두반점제주사수본점,12,4.33,1155,3.7,67
형돈,"2,618",4.49,559,3.7,57
연미정,"11,849",4.46,659,4.3,128
제주김만복성산점,235,4.52,327,3.7,85
덕승식당,"4,523",4.32,688,3.6,71
백리향,"15,013",0.0,0,4.0,96
한라전복(본점),0,0.0,0,4.0,108
제갈양,"5,091",4.56,1521,4.5,366
연북로해물탕,"1,433",4.48,453,4.1,44
짱구분식,"8,221",0.0,0,4.0,117
만선식당,"11,777",4.41,1138,4.0,101
인디언키친,"2,516",4.52,949,4.0,127
산방산초가집,"2,583",4.6,749,4.4,68
문개항아리애월점,567,4.82,6820,4.5,256
숙성도중문점,"3,077",4.44,3457,3.7,181
해심가든,"4,603",0.0,739,3.9,82
모이세해장국본점,216,0.0,0,3.6,36
곤밥2,"1,506",4.59,1447,4.6,121
임금님밥상,"2,904",4.27,680,3.7,41
춘미향식당,"2,071",4.47,743,4.3,147
제주고집,"2,858",4.71,2075,3.9,52
제주올래국수,"1,976",4.41,272,4.2,43
스시도모다찌제주점,12,4.43,851,3.9,90
옥돔식당,"5,681",4.38,1221,3.5,62
돈향기,"5,113",4.61,1515,3.9,63
제주곰집,"16,599",4.54,2448,4.6,226
칠돈가표선직영점,154,0.0,1167,3.6,51
순풍해장국함덕본점,0,0.0,0,3.6,57
옹포바다횟집,"3,468",4.53,423,4.2,66
범일분식,"3,387",4.36,590,4.1,83
제주곱,"3,861",4.52,311,4.6,25
커큐민흑돼지,"5,843",4.45,983,3.6,37
글라글라하와이,"6,978",4.54,776,4.1,87
짬뽕에취한날,"4,907",4.37,687,3.5,64
이스트포레스트,"5,760",4.5,1400,4.2,111
더스푼,"6,569",4.65,1026,3.7,42
김녕오라이,"8,113",4.73,582,4.5,70
흑돼지패밀리,808,4.55,381,4.6,57
센트로,"5,866",4.68,394,4.5,71
제주해물밥,"5,671",4.31,354,3.5,35
성산갈치조림순덕이네,10,0.0,502,4.0,46
섭지코지해녀밥상,621,4.42,225,4.3,29
강식당,"50,268",0.0,416,4.0,102
뚱딴지,"6,326",0.0,0,4.1,99
알동네집,"2,374",4.52,671,3.6,36
중문색달통갈치,"1,299",4.84,2194,4.4,123
윤옥,"9,698",4.57,645,4.3,129
돈고팡본점,692,4.51,626,3.8,55
돈카츠서황,"1,378",4.45,427,3.8,116
삼성혈해물탕1호점,32,4.43,276,4.2,21
한라전복성산본점,4,4.63,514,4.4,93
화성식당,"2,134",4.41,522,3.9,75
해월정서귀포점,"2,219",4.36,1319,4.6,240
하하호호우도본점,29,0.0,0,4.0,145
어조횟집,"2,335",4.4,572,4.1,54
올레마당,"1,337",4.7,2624,4.4,115
서광보말칼국수,"11,061",4.25,835,3.8,71
두툼한고기돈돼지,"1,130",4.6,527,4.7,203
올레삼다정,"1,774",4.66,880,4.4,124
중문그때그집,563,4.76,948,4.9,321
어박사한림본점,13,4.55,1481,4.6,244
임순이네,"1,044",4.62,667,4.5,88
칠돈가제주공항직영점,28,4.51,659,3.8,49
천리식당천리민박,0,4.43,321,4.4,50
꽃가람,"6,392",4.52,1143,4.0,69
요기소바본점,0,4.35,289,4.2,52
용담밭담,929,4.63,877,4.7,223
제주오누이,"3,711",0.0,0,4.3,85
성산흑돼지두루치기,"1,452",4.49,553,4.1,69
삼다도횟집본점,401,4.39,422,3.8,32
귤품은흑돼지제주공항점,0,4.58,1753,4.5,249
원조마라도짜장면집,452,4.21,1135,4.3,172
돈사돈월정점,582,0.0,719,4.0,110
동복뚝배기,"3,151",4.59,718,4.5,49
오전열한시,"13,813",4.48,1036,3.8,58
회춘,"39,201",0.0,0,3.9,86
종달수다뜰,"4,013",4.38,918,4.0,114
애월연어,"3,637",0.0,0,4.6,84
교래흑돼지본점,357,4.61,501,4.4,105
바로족발보쌈,607,4.43,392,4.5,50
도민상회,"20,135",0.0,0,4.6,196
뜰에,"13,322",0.0,0,4.2,116
제일수산횟집,979,4.44,211,4.5,87
삼대전통고기국수,200,4.23,154,3.9,35
대춘해장국노형점,147,4.48,799,4.8,75
장모식탁,"1,023",4.59,867,4.5,54
수영밥상본점,19,4.69,294,4.7,102
탐라가든,"1,067",4.4,529,3.8,41
달이뜨는식탁,"28,202",4.63,994,4.8,367
맨도롱해장국,685,4.39,757,3.7,109
섬소나이,"21,677",4.59,1865,4.3,120
제주선채향,"1,168",4.66,1206,4.8,292
흑돼지제주정,"1,606",4.67,1064,4.6,50
참맛나김밥,"2,671",4.43,744,3.7,68
그리운바다성산포,"7,180",4.54,1213,3.9,114
담다,"52,613",0.0,0,3.8,50
희야국수,506,4.55,344,4.4,63
까망돼지서귀포점,"1,379",4.67,2685,4.3,40
중문신라원,"1,144",4.38,947,3.5,25
스시도모다찌칠성점,316,4.5,815,4.5,96
오멍가멍흑돼지본점,5,4.64,1267,4.1,67
흑본오겹함덕점,251,4.62,948,4.4,72
선흘방주할머니식당,860,4.45,743,4.5,74
모메존흑돼지,"1,113",0.0,600,4.2,232
스시권,"1,136",4.33,362,4.4,296
영빈횟집,"1,332",4.86,1043,4.2,43
용두암오메기떡,640,0.0,0,4.0,39
다미진횟집,"1,587",4.84,1024,4.7,253
수복강녕,"2,950",4.71,359,4.8,78
오가네전복설렁탕함덕점,334,4.6,1880,4.4,190
천돈가,"3,950",4.77,1845,4.1,208
운산식당,888,0.0,0,4.4,77
만지식당,"5,221",4.43,277,4.3,82
한라축산정육식당,"2,340",0.0,0,3.6,27
마마무말가든,353,4.58,408,4.4,33
용꽈배기,"3,925",4.45,552,4.3,51
고미,"31,970",4.38,191,4.2,37
성읍칠십리식당,"3,384",4.33,895,3.5,39
한라산아래첫마을,"6,151",0.0,0,4.3,89
연리지가든,"1,358",4.36,261,3.6,41
돌하르방식당본점,0,0.0,0,4.3,35
연탄과친한돼지,570,4.79,884,3.7,46
함쉐프키친,"4,165",4.47,710,4.1,92
갈치공장,"1,238",4.71,801,4.9,130
청파식당횟집,"1,420",4.7,751,4.6,142
해비치호텔앤리조트제주이디,0,0.0,0,5.0,2
캠퍼트리호텔앤리조트더뷰,0,0.0,0,5.0,2
황가네뚝배기,56,4.19,180,3.9,8
씨에스호텔씨에스다이닝,0,0.0,0,5.0,1
포도호텔레스토랑,890,4.73,79,3.8,24
씨에스호텔카노푸스다이닝,0,4.38,201,4.3,14
