place,address,Latitude,Longitude,category
카페바나나 함덕점,제주특별자치도 제주시 조천읍 신북로 491-9 3층,33.5430312,126.6627219,카페
프로젝트064다방,제주특별자치도 제주시 신광로4길 13,33.488771,126.4885917,카페
앨리스,제주특별자치도 제주시 서광로32길 36-1 2층,33.4975599,126.5296155,카페
카페콜라,제주특별자치도 제주시 한림읍 일주서로 5857,33.4433127,126.2919686,카페
카페 동백,제주특별자치도 제주시 조천읍 동백로 68,33.5087927,126.7127298,카페
스테이위드커피,제주특별자치도 제주시 해안마을5길 29 스테이위드커피,33.4581818,126.4558893,카페
수마,제주특별자치도 서귀포시 성산읍 일출로 264-6 1층,33.4609256,126.9338721,카페
그초록,제주특별자치도 제주시 구좌읍 행원로7길 23-16,33.5564111,126.8064452,카페
카페노티드 제주애월,"제주특별자치도 제주시 애월읍 애월로1길 24-9 1, 2층",33.4632492,126.3097944,카페
코코티에,제주특별자치도 서귀포시 표선면 표선당포로 21-3 1층,33.3265092,126.8447188,카페
망고홀릭 제주본점,제주특별자치도 제주시 삼무로5길 2,33.4907171,126.4920409,카페
다소니,제주특별자치도 제주시 오남로6길 24,33.490672,126.5177399,카페
요요무문,제주특별자치도 제주시 구좌읍 해맞이해안로 1102 2층,33.5291668,126.8538817,카페
스타벅스 제주함덕점,제주특별자치도 제주시 조천읍 조함해안로 522,33.5440366,126.6537771,카페
블루보틀 제주 카페,제주특별자치도 제주시 구좌읍 번영로 2133-30,33.4308303,126.7431198,카페
1158족욕카페,제주특별자치도 제주시 애월읍 애월해안로 230,33.4782235,126.3665625,카페
그계절,제주특별자치도 제주시 구좌읍 한동로 119 1동,33.5318164,126.8185803,카페
텐저린카페,제주특별자치도 서귀포시 이어도로 880,33.240469,126.493008,카페
말로,제주특별자치도 제주시 조천읍 남조로 1785-12 1층,33.4274625,126.6721849,카페
마노커피하우스,제주특별자치도 서귀포시 중문상로 97 1층,33.2628002,126.4296655,카페
서귀피안,제주특별자치도 서귀포시 서호호근로46번길 68,33.2480275,126.5289509,카페
엘파소,제주특별자치도 서귀포시 안덕면 화순로 191-43 1층,33.2489044,126.3339887,카페
망고레이 섭지코지점,제주특별자치도 서귀포시 성산읍 신양로 102,33.4364202,126.9206412,카페
어제보다오늘,제주특별자치도 제주시 서해안로 68 1층,33.5028469,126.4570603,카페
비마이게스트,제주특별자치도 제주시 한림읍 한림로 406 1층,33.3979874,126.2456107,카페
카페진정성 종점,제주특별자치도 제주시 서해안로 124 1층,33.5110314,126.4802212,카페
빽다방베이커리 제주사수점,"제주특별자치도 제주시 서해안로 291-5 1,2층",33.5092672,126.47675,카페
오늘의바다,제주특별자치도 서귀포시 이어도로 990,33.240469,126.493008,카페
와랑와랑,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 28,33.2723619,126.676564,카페
카페그라나다,제주특별자치도 제주시 도공로 86-1,33.5023315,126.466044,카페
카페리,제주특별자치도 제주시 구좌읍 평대2길 39,33.5339653,126.8396975,카페
사계생활,제주특별자치도 서귀포시 안덕면 산방로 380,33.2316019,126.2965011,카페
카페도두,제주특별자치도 제주시 서해안로 342 1층,33.5110314,126.4802212,카페
스타벅스 성산일출봉점,"제주특별자치도 서귀포시 성산읍 일출로 284-5 1,2층",33.46287,126.9355028,카페
에스프레소라운지,"제주특별자치도 제주시 한라대학로 1 1,2층",33.4772209,126.476779,카페
모모제이,제주특별자치도 제주시 인다8길 36-1,33.4829274,126.4841185,카페
5L2F(오엘이에프),제주특별자치도 제주시 조천읍 와흘상길 30,33.4931604,126.6326534,카페
서홍정원,제주특별자치도 서귀포시 솜반천로55번길 12-8,33.252599,126.5545059,카페
스물다섯,제주특별자치도 제주시 다랑곶6길 19 1층,33.4888838,126.4808578,카페
컴플리트커피 연동점,제주특별자치도 제주시 국기로4길 1,33.4792828,126.4923095,카페
시루애월,제주특별자치도 제주시 애월읍 하소로 449,33.4426654,126.3918782,카페
인스밀,제주특별자치도 서귀포시 대정읍 일과대수로27번길 22 1층,33.2385214,126.2293708,카페
스타벅스 제주노형점,제주특별자치도 제주시 도령로 27,33.4877957,126.4818957,카페
Pickus 피커스,제주특별자치도 제주시 아연로 444-1 2층,33.474732,126.5277001,카페
제주설심당 본점,제주특별자치도 제주시 서해안로 504 1층,33.5194453,126.493001,카페
듀포레,"제주특별자치도 제주시 서해안로 579 1,2층",33.5185294,126.5002822,카페
ABC베이커리,제주특별자치도 제주시 탑동로 11,33.5169485,126.5234344,카페
모카다방,제주특별자치도 서귀포시 남원읍 태신해안로 125,33.2921673,126.7614581,카페
호텔샌드,제주특별자치도 제주시 한림읍 한림로 339,33.3940557,126.2405094,카페
그리울땐제주,제주특별자치도 서귀포시 남원읍 태신해안로 271 1층,33.2969817,126.763215,카페
카페블루하우스 올레시장점,제주특별자치도 서귀포시 중앙로 73 1층,33.2511949,126.5611713,카페
스타벅스 제주칠성점,제주특별자치도 제주시 관덕로 55,33.5133421,126.5253125,카페
스타벅스 제주송악산점,제주특별자치도 서귀포시 대정읍 형제해안로 322 1~2층,33.2067454,126.2897673,카페
신산리마을카페,제주특별자치도 서귀포시 성산읍 환해장성로 33,33.4121987,126.9047711,카페
미엘드세화,제주특별자치도 제주시 구좌읍 해맞이해안로 1464,33.5291668,126.8538817,카페
동박낭,제주특별자치도 서귀포시 남원읍 태위로 275-2,33.2760352,126.6770034,카페
윈드스톤,제주특별자치도 제주시 애월읍 광성로 272,33.4603788,126.4361793,카페
73st,제주특별자치도 제주시 해안마을길 73,33.45695,126.4551451,카페
