place,address,Latitude,Longitude,category
카페닐스,제주특별자치도 제주시 한림읍 일주서로 5153,33.3933134,126.2559986,카페
카페유디에이,제주특별자치도 서귀포시 속골로 13-7,33.2407137,126.5272012,카페
과수원피스,제주특별자치도 제주시 한림읍 한림로 176-2,33.3853659,126.2274654,카페
먹쿠슬낭여행자카페,제주특별자치도 제주시 오라로 24,33.4980411,126.5070556,카페
귤꽃다락,제주특별자치도 서귀포시 이어도로1027번길 34,33.2464249,126.5225977,카페
스타벅스 제주신화월드R점,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 지하1층 29호,33.3066927,126.3380858,카페
까미노,제주특별자치도 제주시 애월읍 고하상로 91-12 1층,33.4578738,126.3481467,카페
스타벅스 제주노형공원점,제주특별자치도 제주시 연북로 12 이레하이텔 101,33.4816856,126.4825392,카페
카페세바,제주특별자치도 제주시 조천읍 선흘동2길 20-7 1층,33.5133133,126.7061124,카페
하소로커피,제주특별자치도 제주시 한경면 불그못로 72,33.2955618,126.2179904,카페
동백정원,제주특별자치도 서귀포시 이어도로343번길 117,33.249632,126.4464808,카페
카페더라이트,제주특별자치도 서귀포시 성산읍 한도로 269,33.4657004,126.9360502,카페
색달로망스,제주특별자치도 서귀포시 색달로72번길 1 1층,33.2586095,126.4107015,카페
카페두가시,제주특별자치도 서귀포시 안덕면 대평감산로 9,33.2354639,126.3667768,카페
카페2472,제주특별자치도 서귀포시 천제연로 103-15 2층,33.255829,126.4164994,카페
"오른(orrrn,오알엔)",제주특별자치도 서귀포시 성산읍 해맞이해안로 2714,33.4758294,126.9099122,카페
살롱드라방,제주특별자치도 제주시 애월읍 하가로 146-9 1층,33.4578708,126.3490061,카페
노을리카페,제주특별자치도 제주시 애월읍 애월해안로 654,33.4782235,126.3665625,카페
모찌롱 (휴업중),제주특별자치도 제주시 관덕로6길 12 1층,33.5120593,126.5219935,카페
카페오드리,제주특별자치도 제주시 한림읍 한창로 1294,33.3569567,126.2974038,카페
블루모모,제주특별자치도 제주시 고산동산1길 9 1층,33.4976752,126.5323457,카페
카페훤,"제주특별자치도 제주시 한림읍 협재1길 8 1,2층",33.3961731,126.242583,카페
카페살레,"제주특별자치도 제주시 우도면 우도해안길 816 1,2층",33.513074,126.957847,카페
오늘도화창,제주특별자치도 제주시 구좌읍 월정5길 56 1층,33.5551412,126.7950427,카페
제주몹시,제주특별자치도 제주시 월대1길 10 1층,33.4945285,126.4336524,카페
카페송키,제주특별자치도 제주시 무근성안길 16 1층,33.5151147,126.520256,카페
리치망고 애월본점,제주특별자치도 제주시 애월읍 애월해안로 272,33.4782235,126.3665625,카페
에이바우트커피 신라신성점,제주특별자치도 제주시 노연로 62 신성오피스텔 1층,33.4857368,126.4867585,카페
위더스트래블 아라점,제주특별자치도 제주시 아라일동 6113-16,33.4261379,126.5626925,카페
투썸플레이스 제주애월한담점,제주특별자치도 제주시 애월읍 애월로1길 19 지하1~2층,33.4618349,126.3110652,카페
쉬리니케이크,제주특별자치도 제주시 애월읍 애납로 175 1층,33.4403995,126.3279618,카페
소보리당로222,제주특별자치도 서귀포시 소보리당로 222,33.2629497,126.3833788,카페
픽스커피 본점,제주특별자치도 제주시 신설로11길 2 1층,33.4912804,126.5445739,카페
카페곁에,제주특별자치도 제주시 구좌읍 동복로3길 9 1층,33.5535419,126.7131756,카페
어니스트밀크 본점,제주특별자치도 서귀포시 성산읍 중산간동로 3147-7,33.4519403,126.8783149,카페
카페월령,제주특별자치도 제주시 한림읍 월령3길 36 나동 1층,33.3787506,126.2168357,카페
비자블라썸,제주특별자치도 제주시 구좌읍 비자림로 2244 1층,33.467852,126.7724183,카페
블루마운틴 4255,제주특별자치도 서귀포시 성산읍 중산간동로 4255,33.4119114,126.8416603,카페
토끼문,제주특별자치도 제주시 구좌읍 해맞이해안로 456 1~3층,33.5291668,126.8538817,카페
봉꾸라주,제주특별자치도 서귀포시 신서로48번길 5 1층,33.2531585,126.5097338,카페
고요새,제주특별자치도 제주시 선사로8길 11,33.5271456,126.5895044,카페
스타벅스 제주삼화DT점,제주특별자치도 제주시 연삼로 884,33.5011704,126.5402581,카페
에이바우트커피뷰 하귀포구점,제주특별자치도 제주시 애월읍 하귀12길 21-2,33.4864408,126.408477,카페
매기의추억,제주특별자치도 제주시 한림읍 한림해안로 595,33.4257892,126.2673117,카페
카페인사리,제주특별자치도 제주시 구좌읍 일주동로 2806 2동 2층,33.5314441,126.8206181,카페
카페동경앤책방,제주특별자치도 제주시 애월읍 하귀로 74 2층,33.4813428,126.4049209,카페
김녕에사는김영훈,제주특별자치도 제주시 구좌읍 김녕로6길 2 1층,33.5542572,126.7464175,카페
네이처캔버스,제주특별자치도 서귀포시 남원읍 중산간동로 7129,33.2830648,126.6308443,카페
큐티파이카페,제주특별자치도 제주시 애월읍 애월해안로 610,33.4778706,126.3688144,카페
고미미,제주특별자치도 제주시 북성로 67 1층,33.515311,126.5177481,카페
여섯번의보름,제주특별자치도 서귀포시 호근남로5번길 14-5,33.2569606,126.5304828,카페
쉬어갓,제주특별자치도 서귀포시 성산읍 일주동로 5023 1층,33.3861559,126.8824321,카페
노론존,제주특별자치도 제주시 도령로 50 2층,33.4884319,126.4841582,카페
카페어떤오후,제주특별자치도 제주시 애월읍 상가북6길 13 1층,33.4511382,126.3458599,카페
카페폴린,제주특별자치도 서귀포시 칠십리로 194 1층,33.2458603,126.5913123,카페
리듬앤브루스,제주특별자치도 제주시 무근성7길 11,33.5138019,126.5198694,카페
소라의성,제주특별자치도 서귀포시 칠십리로214번길 17-17,33.2451858,126.5770041,카페
헤이브라더,제주특별자치도 서귀포시 안덕면 형제해안로 72,33.2272202,126.3028716,카페
스타벅스 제주서해안로DT점,제주특별자치도 제주시 서해안로 624,33.5167857,126.5035553,카페
카페아오오,"제주특별자치도 서귀포시 성산읍 환해장성로 75 1,2층",33.4121987,126.9047711,카페
리틀포레스트,제주특별자치도 서귀포시 월평로 15,33.2448621,126.4592692,카페
카페코지,제주특별자치도 서귀포시 성산읍 한도로 200 2층,33.467855,126.9239401,카페
트라이브,제주특별자치도 제주시 애월읍 애월로 11,33.4600513,126.3113009,카페
롱리브,제주특별자치도 제주시 아란3길 13-3 아라지엘지 1층 102호,33.4730594,126.7833092,카페
