place,address
카페그라나다,제주특별자치도 제주시 도공로 86-1
카페리,제주특별자치도 제주시 구좌읍 평대2길 39
사계생활,제주특별자치도 서귀포시 안덕면 산방로 380
카페도두,제주특별자치도 제주시 서해안로 342 1층
스타벅스 성산일출봉점,"제주특별자치도 서귀포시 성산읍 일출로 284-5 1,2층"
에스프레소라운지,"제주특별자치도 제주시 한라대학로 1 1,2층"
모모제이,제주특별자치도 제주시 인다8길 36-1
5L2F(오엘이에프),제주특별자치도 제주시 조천읍 와흘상길 30
서홍정원,제주특별자치도 서귀포시 솜반천로55번길 12-8
스물다섯,제주특별자치도 제주시 다랑곶6길 19 1층
컴플리트커피 연동점,제주특별자치도 제주시 국기로4길 1
시루애월,제주특별자치도 제주시 애월읍 하소로 449
인스밀,제주특별자치도 서귀포시 대정읍 일과대수로27번길 22 1층
스타벅스 제주노형점,제주특별자치도 제주시 도령로 27
Pickus 피커스,제주특별자치도 제주시 아연로 444-1 2층
제주설심당 본점,제주특별자치도 제주시 서해안로 504 1층
듀포레,"제주특별자치도 제주시 서해안로 579 1,2층"
ABC베이커리,제주특별자치도 제주시 탑동로 11
모카다방,제주특별자치도 서귀포시 남원읍 태신해안로 125
호텔샌드,제주특별자치도 제주시 한림읍 한림로 339
그리울땐제주,제주특별자치도 서귀포시 남원읍 태신해안로 271 1층
카페블루하우스 올레시장점,제주특별자치도 서귀포시 중앙로 73 1층
스타벅스 제주칠성점,제주특별자치도 제주시 관덕로 55
스타벅스 제주송악산점,제주특별자치도 서귀포시 대정읍 형제해안로 322 1~2층
신산리마을카페,제주특별자치도 서귀포시 성산읍 환해장성로 33
미엘드세화,제주특별자치도 제주시 구좌읍 해맞이해안로 1464
동박낭,제주특별자치도 서귀포시 남원읍 태위로 275-2
윈드스톤,제주특별자치도 제주시 애월읍 광성로 272
73st,제주특별자치도 제주시 해안마을길 73
풍미독서,제주특별자치도 제주시 구좌읍 세화합전2길 7
선흘,제주특별자치도 제주시 조천읍 선교로 198
스타벅스 제주시청점,제주특별자치도 제주시 중앙로 215
카페유주,제주특별자치도 제주시 한림읍 한림상로 17 1층
달자카페,제주특별자치도 제주시 애월읍 애월해안로 738
그레이그로브,제주특별자치도 서귀포시 안덕면 형제해안로 70
바다위에코끼리,제주특별자치도 제주시 한림읍 협재1길 27-6 1층
바라나시책골목,제주특별자치도 제주시 동한두기길 35-2 1층
누옥,제주특별자치도 제주시 삼성로5길 21-1
동명정류장,제주특별자치도 제주시 한림읍 동명7길 26 1층
알마커피제작소,"제주특별자치도 제주시 조천읍 북촌11길 23 1,2층"
노바운더리 제주,제주특별자치도 서귀포시 표선면 번영로 2610 1층
간세라운지,제주특별자치도 제주시 관덕로8길 7-9
모앙,제주특별자치도 제주시 인다5길 12-4 1층
회춘 애월점,제주특별자치도 제주시 애월읍 가문동길 80
서귀피안베이커리,제주특별자치도 서귀포시 성산읍 신양로122번길 17 2층
디피159,제주특별자치도 서귀포시 대포로 159 1층
스타벅스 제주외도DT점,제주특별자치도 제주시 일주서로 7300
사일리커피,제주특별자치도 서귀포시 대정읍 최남단해안로 412
에이바우트커피 한라대점,"제주특별자치도 제주시 한라대학로 39 1,2층"
카카듀,제주특별자치도 제주시 박성내서길 18
이에르바,제주특별자치도 제주시 조천읍 신촌남1길 33-8 1층
무로이,제주특별자치도 서귀포시 안덕면 동광본동로 21
조아찌커피,제주특별자치도 제주시 테우해안로 158 1층
커피99.9,"제주특별자치도 제주시 1100로 3173 1,2층"
롱플레이제주,제주특별자치도 제주시 구좌읍 동복로 44 1층
너와의첫여행,제주특별자치도 제주시 애월읍 장소로 16
인카페온더비치,제주특별자치도 제주시 구좌읍 해맞이해안로 943
바람벽에흰당나귀,제주특별자치도 제주시 구좌읍 동복로 11
델문도 로스터스,제주특별자치도 제주시 연삼로 316 MS빌딩 1층
카페희상,제주특별자치도 서귀포시 표선면 표선동서로 324-18
순아,"제주특별자치도 제주시 관덕로 32-1 1,2층"
속솜,"제주특별자치도 제주시 구좌읍 해맞이해안로 1655 1,2층"
카페주비,제주특별자치도 제주시 도리로 84 1층
그러므로,제주특별자치도 제주시 구남동6길 45
인디고인디드,제주특별자치도 제주시 애월읍 애월해안로 204 1층
우호적무관심,제주특별자치도 제주시 한경면 저지12길 103
하라케케,제주특별자치도 서귀포시 속골로 29-10 16호
카페바르941,제주특별자치도 서귀포시 성산읍 환해장성로 941
플레이스엉물,제주특별자치도 제주시 구좌읍 종달논길 92 1층
씨리얼,제주특별자치도 제주시 한림읍 명랑로 26 1층
오버더윈도우,"제주특별자치도 서귀포시 태평로 379-1 2,3층"
다랑쉬,제주특별자치도 제주시 용문로21길 4
커피주의보,제주특별자치도 제주시 남광로 16
너븐,제주특별자치도 서귀포시 칠십리로214번길 26
바램,제주특별자치도 서귀포시 안덕면 신화역사로 611
말리가,제주특별자치도 제주시 한림읍 협재로 124 1층
시인의집,제주특별자치도 제주시 조천읍 조천3길 27
숑,제주특별자치도 서귀포시 남원읍 공천포로 91
카페닐스,제주특별자치도 제주시 한림읍 일주서로 5153
카페유디에이,제주특별자치도 서귀포시 속골로 13-7
과수원피스,제주특별자치도 제주시 한림읍 한림로 176-2
먹쿠슬낭여행자카페,제주특별자치도 제주시 오라로 24
귤꽃다락,제주특별자치도 서귀포시 이어도로1027번길 34
스타벅스 제주신화월드R점,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 지하1층 29호
까미노,제주특별자치도 제주시 애월읍 고하상로 91-12 1층
스타벅스 제주노형공원점,제주특별자치도 제주시 연북로 12 이레하이텔 101
카페세바,제주특별자치도 제주시 조천읍 선흘동2길 20-7 1층
하소로커피,제주특별자치도 제주시 한경면 불그못로 72
동백정원,제주특별자치도 서귀포시 이어도로343번길 117
카페더라이트,제주특별자치도 서귀포시 성산읍 한도로 269
색달로망스,제주특별자치도 서귀포시 색달로72번길 1 1층
카페두가시,제주특별자치도 서귀포시 안덕면 대평감산로 9
카페2472,제주특별자치도 서귀포시 천제연로 103-15 2층
