,place,address,Latitude,Longitude,k_means_cluster
42,마음에온,제주특별자치도 제주시 칠성로길 29-1,33.514554,126.5260077,3
43,미스틱3도,"제주특별자치도 제주시 1100로 2894-49 1,2층",33.4499537,126.487749,3
44,머문,제주특별자치도 제주시 구좌읍 해맞이해안로 460 2층,33.5291668,126.8538817,1
45,당당,제주특별자치도 제주시 애월읍 중엄안1길 25,33.474404,126.3709944,0
46,본카페 애월,"제주특별자치도 제주시 애월읍 애월해안로 179 1,2층",33.4782235,126.3665625,0
47,허니문하우스,제주특별자치도 서귀포시 칠십리로 228-13,33.2452878,126.5787493,2
48,비브레이브 혁신도시점,제주특별자치도 서귀포시 서호중앙로 85-13 1층,33.2521803,126.5610081,2
49,베메로 bake make roast,제주특별자치도 서귀포시 중문관광로72번길 29-5,33.249826,126.4109614,0
50,오늘은녹차한잔,제주특별자치도 서귀포시 표선면 중산간동로 4772,33.3662211,126.7805125,1
51,모뉴에트,제주특별자치도 제주시 구좌읍 종달동길 23 1층,33.4915561,126.9023175,1
52,호랑호랑,제주특별자치도 서귀포시 성산읍 일출로 86 C동,33.4542884,126.9242718,1
53,카페태희,제주특별자치도 제주시 애월읍 곽지3길 27,33.4493508,126.3044233,0
54,달빛제주,제주특별자치도 제주시 애월읍 애월해안로 929 가동 2층,33.4782235,126.3665625,0
55,모래비,제주특별자치도 제주시 구좌읍 해맞이해안로 462 모래비,33.5291668,126.8538817,1
56,모노클제주,제주특별자치도 서귀포시 남원읍 태위로360번길 30-8,33.2729087,126.6845952,2
57,카페공작소,제주특별자치도 제주시 구좌읍 해맞이해안로 1446,33.5291668,126.8538817,1
58,청춘부부,제주특별자치도 서귀포시 대정읍 추사로38번길 181 1층,33.2658939,126.2791647,0
59,아뜰리에안,제주특별자치도 서귀포시 막숙포로 166,33.2315119,126.5061073,2
60,슬랩,제주특별자치도 제주시 한림읍 한림로 354 2층,33.3947774,126.2416879,0
61,스타벅스 제주용담DT점,제주특별자치도 제주시 서해안로 380 1층,33.5123802,126.4846092,3
62,빠빠라기 신제주점,제주특별자치도 제주시 신광로 45,33.4879855,126.4903506,3
63,두갓,제주특별자치도 제주시 해안마을북길 13-39 1층,33.4646856,126.450972,3
64,그러므로 파트2,제주특별자치도 제주시 수목원길 16-14,33.4683912,126.4860864,3
65,트라인커피,제주특별자치도 제주시 조천읍 와흘상길 32,33.4931604,126.6326534,3
66,카페바나나 함덕점,제주특별자치도 제주시 조천읍 신북로 491-9 3층,33.5430312,126.6627219,3
67,프로젝트064다방,제주특별자치도 제주시 신광로4길 13,33.488771,126.4885917,3
68,앨리스,제주특별자치도 제주시 서광로32길 36-1 2층,33.4975599,126.5296155,3
69,카페콜라,제주특별자치도 제주시 한림읍 일주서로 5857,33.4433127,126.2919686,0
70,카페 동백,제주특별자치도 제주시 조천읍 동백로 68,33.5087927,126.7127298,1
71,스테이위드커피,제주특별자치도 제주시 해안마을5길 29 스테이위드커피,33.4581818,126.4558893,3
72,수마,제주특별자치도 서귀포시 성산읍 일출로 264-6 1층,33.4609256,126.9338721,1
73,그초록,제주특별자치도 제주시 구좌읍 행원로7길 23-16,33.5564111,126.8064452,1
74,카페노티드 제주애월,"제주특별자치도 제주시 애월읍 애월로1길 24-9 1, 2층",33.4632492,126.3097944,0
75,코코티에,제주특별자치도 서귀포시 표선면 표선당포로 21-3 1층,33.3265092,126.8447188,1
76,망고홀릭 제주본점,제주특별자치도 제주시 삼무로5길 2,33.4907171,126.4920409,3
77,다소니,제주특별자치도 제주시 오남로6길 24,33.490672,126.5177399,3
78,요요무문,제주특별자치도 제주시 구좌읍 해맞이해안로 1102 2층,33.5291668,126.8538817,1
79,스타벅스 제주함덕점,제주특별자치도 제주시 조천읍 조함해안로 522,33.5440366,126.6537771,3
80,블루보틀 제주 카페,제주특별자치도 제주시 구좌읍 번영로 2133-30,33.4308303,126.7431198,1
81,1158족욕카페,제주특별자치도 제주시 애월읍 애월해안로 230,33.4782235,126.3665625,0
82,그계절,제주특별자치도 제주시 구좌읍 한동로 119 1동,33.5318164,126.8185803,1
83,텐저린카페,제주특별자치도 서귀포시 이어도로 880,33.240469,126.493008,2
84,말로,제주특별자치도 제주시 조천읍 남조로 1785-12 1층,33.4274625,126.6721849,3
85,마노커피하우스,제주특별자치도 서귀포시 중문상로 97 1층,33.2628002,126.4296655,0
86,서귀피안,제주특별자치도 서귀포시 서호호근로46번길 68,33.2480275,126.5289509,2
87,엘파소,제주특별자치도 서귀포시 안덕면 화순로 191-43 1층,33.2489044,126.3339887,0
88,망고레이 섭지코지점,제주특별자치도 서귀포시 성산읍 신양로 102,33.4364202,126.9206412,1
89,어제보다오늘,제주특별자치도 제주시 서해안로 68 1층,33.5028469,126.4570603,3
90,비마이게스트,제주특별자치도 제주시 한림읍 한림로 406 1층,33.3979874,126.2456107,0
91,카페진정성 종점,제주특별자치도 제주시 서해안로 124 1층,33.5110314,126.4802212,3
92,빽다방베이커리 제주사수점,"제주특별자치도 제주시 서해안로 291-5 1,2층",33.5092672,126.47675,3
93,오늘의바다,제주특별자치도 서귀포시 이어도로 990,33.240469,126.493008,2
94,와랑와랑,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 28,33.2723619,126.676564,2
95,카페그라나다,제주특별자치도 제주시 도공로 86-1,33.5023315,126.466044,3
96,카페리,제주특별자치도 제주시 구좌읍 평대2길 39,33.5339653,126.8396975,1
97,사계생활,제주특별자치도 서귀포시 안덕면 산방로 380,33.2316019,126.2965011,0
98,카페도두,제주특별자치도 제주시 서해안로 342 1층,33.5110314,126.4802212,3
99,스타벅스 성산일출봉점,"제주특별자치도 서귀포시 성산읍 일출로 284-5 1,2층",33.46287,126.9355028,1
100,에스프레소라운지,"제주특별자치도 제주시 한라대학로 1 1,2층",33.4772209,126.476779,3
101,모모제이,제주특별자치도 제주시 인다8길 36-1,33.4829274,126.4841185,3
102,5L2F(오엘이에프),제주특별자치도 제주시 조천읍 와흘상길 30,33.4931604,126.6326534,3
103,서홍정원,제주특별자치도 서귀포시 솜반천로55번길 12-8,33.252599,126.5545059,2
104,스물다섯,제주특별자치도 제주시 다랑곶6길 19 1층,33.4888838,126.4808578,3
105,컴플리트커피 연동점,제주특별자치도 제주시 국기로4길 1,33.4792828,126.4923095,3
106,시루애월,제주특별자치도 제주시 애월읍 하소로 449,33.4426654,126.3918782,0
107,인스밀,제주특별자치도 서귀포시 대정읍 일과대수로27번길 22 1층,33.2385214,126.2293708,0
108,스타벅스 제주노형점,제주특별자치도 제주시 도령로 27,33.4877957,126.4818957,3
109,Pickus 피커스,제주특별자치도 제주시 아연로 444-1 2층,33.474732,126.5277001,3
110,제주설심당 본점,제주특별자치도 제주시 서해안로 504 1층,33.5194453,126.493001,3
111,듀포레,"제주특별자치도 제주시 서해안로 579 1,2층",33.5185294,126.5002822,3
112,ABC베이커리,제주특별자치도 제주시 탑동로 11,33.5169485,126.5234344,3
113,모카다방,제주특별자치도 서귀포시 남원읍 태신해안로 125,33.2921673,126.7614581,2
114,호텔샌드,제주특별자치도 제주시 한림읍 한림로 339,33.3940557,126.2405094,0
115,그리울땐제주,제주특별자치도 서귀포시 남원읍 태신해안로 271 1층,33.2969817,126.763215,1
116,카페블루하우스 올레시장점,제주특별자치도 서귀포시 중앙로 73 1층,33.2511949,126.5611713,2
117,스타벅스 제주칠성점,제주특별자치도 제주시 관덕로 55,33.5133421,126.5253125,3
118,스타벅스 제주송악산점,제주특별자치도 서귀포시 대정읍 형제해안로 322 1~2층,33.2067454,126.2897673,0
119,신산리마을카페,제주특별자치도 서귀포시 성산읍 환해장성로 33,33.4121987,126.9047711,1
120,미엘드세화,제주특별자치도 제주시 구좌읍 해맞이해안로 1464,33.5291668,126.8538817,1
121,동박낭,제주특별자치도 서귀포시 남원읍 태위로 275-2,33.2760352,126.6770034,2
122,윈드스톤,제주특별자치도 제주시 애월읍 광성로 272,33.4603788,126.4361793,3
123,73st,제주특별자치도 제주시 해안마을길 73,33.45695,126.4551451,3
124,풍미독서,제주특별자치도 제주시 구좌읍 세화합전2길 7,33.5137935,126.8591021,1
125,선흘,제주특별자치도 제주시 조천읍 선교로 198,33.4857615,126.6993046,1
126,스타벅스 제주시청점,제주특별자치도 제주시 중앙로 215,33.4814679,126.5411458,3
127,카페유주,제주특별자치도 제주시 한림읍 한림상로 17 1층,33.405404,126.2574231,0
128,달자카페,제주특별자치도 제주시 애월읍 애월해안로 738,33.4782235,126.3665625,0
129,그레이그로브,제주특별자치도 서귀포시 안덕면 형제해안로 70,33.2258451,126.2999006,0
130,바다위에코끼리,제주특별자치도 제주시 한림읍 협재1길 27-6 1층,33.3976864,126.2432576,0
131,바라나시책골목,제주특별자치도 제주시 동한두기길 35-2 1층,33.5162969,126.5153031,3
132,누옥,제주특별자치도 제주시 삼성로5길 21-1,33.508269,126.5287994,3
133,동명정류장,제주특별자치도 제주시 한림읍 동명7길 26 1층,33.3971282,126.2663189,0
134,알마커피제작소,"제주특별자치도 제주시 조천읍 북촌11길 23 1,2층",33.5502072,126.694852,1
135,노바운더리 제주,제주특별자치도 서귀포시 표선면 번영로 2610 1층,33.3726822,126.7971235,1
136,간세라운지,제주특별자치도 제주시 관덕로8길 7-9,33.5125989,126.5243823,3
137,모앙,제주특별자치도 제주시 인다5길 12-4 1층,33.4743053,126.5480714,3
138,회춘 애월점,제주특별자치도 제주시 애월읍 가문동길 80,33.4890946,126.3909279,0
139,서귀피안베이커리,제주특별자치도 서귀포시 성산읍 신양로122번길 17 2층,33.4352867,126.9218661,1
140,디피159,제주특별자치도 서귀포시 대포로 159 1층,33.239494,126.4379472,0
141,스타벅스 제주외도DT점,제주특별자치도 제주시 일주서로 7300,33.3414039,126.1898997,0
142,사일리커피,제주특별자치도 서귀포시 대정읍 최남단해안로 412,33.199919,126.276136,0
143,에이바우트커피 한라대점,"제주특별자치도 제주시 한라대학로 39 1,2층",33.4772209,126.476779,3
144,카카듀,제주특별자치도 제주시 박성내서길 18,33.4912951,126.5418406,3
145,이에르바,제주특별자치도 제주시 조천읍 신촌남1길 33-8 1층,33.5274997,126.6189404,3
146,무로이,제주특별자치도 서귀포시 안덕면 동광본동로 21,33.3077027,126.3367039,0
147,조아찌커피,제주특별자치도 제주시 테우해안로 158 1층,33.4966887,126.4506551,3
148,커피99.9,"제주특별자치도 제주시 1100로 3173 1,2층",33.4561511,126.48637,3
149,롱플레이제주,제주특별자치도 제주시 구좌읍 동복로 44 1층,33.5530939,126.7110103,1
150,너와의첫여행,제주특별자치도 제주시 애월읍 장소로 16,33.4505913,126.3842756,0
151,인카페온더비치,제주특별자치도 제주시 구좌읍 해맞이해안로 943,33.5291668,126.8538817,1
152,바람벽에흰당나귀,제주특별자치도 제주시 구좌읍 동복로 11,33.5538497,126.7076684,1
153,델문도 로스터스,제주특별자치도 제주시 연삼로 316 MS빌딩 1층,33.4917912,126.5263903,3
154,카페희상,제주특별자치도 서귀포시 표선면 표선동서로 324-18,33.3299649,126.838304,1
155,순아,"제주특별자치도 제주시 관덕로 32-1 1,2층",33.5130604,126.5227848,3
156,속솜,"제주특별자치도 제주시 구좌읍 해맞이해안로 1655 1,2층",33.5291668,126.8538817,1
157,카페주비,제주특별자치도 제주시 도리로 84 1층,33.5008197,126.4643053,3
158,그러므로,제주특별자치도 제주시 구남동6길 45,33.4875695,126.5364225,3
159,인디고인디드,제주특별자치도 제주시 애월읍 애월해안로 204 1층,33.4782235,126.3665625,0
160,우호적무관심,제주특별자치도 제주시 한경면 저지12길 103,33.3397466,126.261347,0
161,하라케케,제주특별자치도 서귀포시 속골로 29-10 16호,33.2427503,126.5279492,2
162,카페바르941,제주특별자치도 서귀포시 성산읍 환해장성로 941,33.4349796,126.9163156,1
163,플레이스엉물,제주특별자치도 제주시 구좌읍 종달논길 92 1층,33.4925079,126.898571,1
164,씨리얼,제주특별자치도 제주시 한림읍 명랑로 26 1층,33.414175,126.267655,0
165,오버더윈도우,"제주특별자치도 서귀포시 태평로 379-1 2,3층",33.2452067,126.5614239,2
166,다랑쉬,제주특별자치도 제주시 용문로21길 4,33.508907,126.5094692,3
167,커피주의보,제주특별자치도 제주시 남광로 16,33.4979375,126.5462372,3
168,너븐,제주특별자치도 서귀포시 칠십리로214번길 26,33.2452654,126.5741175,2
169,바램,제주특별자치도 서귀포시 안덕면 신화역사로 611,33.3066927,126.3380858,0
170,말리가,제주특별자치도 제주시 한림읍 협재로 124 1층,33.3870114,126.24897,0
171,시인의집,제주특별자치도 제주시 조천읍 조천3길 27,33.5358808,126.634634,3
172,숑,제주특별자치도 서귀포시 남원읍 공천포로 91,33.2664162,126.6428296,2
173,카페닐스,제주특별자치도 제주시 한림읍 일주서로 5153,33.3933134,126.2559986,0
174,카페유디에이,제주특별자치도 서귀포시 속골로 13-7,33.2407137,126.5272012,2
175,과수원피스,제주특별자치도 제주시 한림읍 한림로 176-2,33.3853659,126.2274654,0
176,먹쿠슬낭여행자카페,제주특별자치도 제주시 오라로 24,33.4980411,126.5070556,3
177,귤꽃다락,제주특별자치도 서귀포시 이어도로1027번길 34,33.2464249,126.5225977,2
178,스타벅스 제주신화월드R점,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 지하1층 29호,33.3066927,126.3380858,0
179,까미노,제주특별자치도 제주시 애월읍 고하상로 91-12 1층,33.4578738,126.3481467,0
180,스타벅스 제주노형공원점,제주특별자치도 제주시 연북로 12 이레하이텔 101,33.4816856,126.4825392,3
181,카페세바,제주특별자치도 제주시 조천읍 선흘동2길 20-7 1층,33.5133133,126.7061124,1
182,하소로커피,제주특별자치도 제주시 한경면 불그못로 72,33.2955618,126.2179904,0
183,동백정원,제주특별자치도 서귀포시 이어도로343번길 117,33.249632,126.4464808,0
184,카페더라이트,제주특별자치도 서귀포시 성산읍 한도로 269,33.4657004,126.9360502,1
185,색달로망스,제주특별자치도 서귀포시 색달로72번길 1 1층,33.2586095,126.4107015,0
186,카페두가시,제주특별자치도 서귀포시 안덕면 대평감산로 9,33.2354639,126.3667768,0
187,카페2472,제주특별자치도 서귀포시 천제연로 103-15 2층,33.255829,126.4164994,0
188,"오른(orrrn,오알엔)",제주특별자치도 서귀포시 성산읍 해맞이해안로 2714,33.4758294,126.9099122,1
189,살롱드라방,제주특별자치도 제주시 애월읍 하가로 146-9 1층,33.4578708,126.3490061,0
190,노을리카페,제주특별자치도 제주시 애월읍 애월해안로 654,33.4782235,126.3665625,0
191,모찌롱 (휴업중),제주특별자치도 제주시 관덕로6길 12 1층,33.5120593,126.5219935,3
192,카페오드리,제주특별자치도 제주시 한림읍 한창로 1294,33.3569567,126.2974038,0
193,블루모모,제주특별자치도 제주시 고산동산1길 9 1층,33.4976752,126.5323457,3
194,카페훤,"제주특별자치도 제주시 한림읍 협재1길 8 1,2층",33.3961731,126.242583,0
195,카페살레,"제주특별자치도 제주시 우도면 우도해안길 816 1,2층",33.513074,126.957847,1
196,오늘도화창,제주특별자치도 제주시 구좌읍 월정5길 56 1층,33.5551412,126.7950427,1
197,제주몹시,제주특별자치도 제주시 월대1길 10 1층,33.4945285,126.4336524,3
198,카페송키,제주특별자치도 제주시 무근성안길 16 1층,33.5151147,126.520256,3
199,리치망고 애월본점,제주특별자치도 제주시 애월읍 애월해안로 272,33.4782235,126.3665625,0
200,에이바우트커피 신라신성점,제주특별자치도 제주시 노연로 62 신성오피스텔 1층,33.4857368,126.4867585,3
201,위더스트래블 아라점,제주특별자치도 제주시 아라일동 6113-16,33.4261379,126.5626925,3
202,투썸플레이스 제주애월한담점,제주특별자치도 제주시 애월읍 애월로1길 19 지하1~2층,33.4618349,126.3110652,0
203,쉬리니케이크,제주특별자치도 제주시 애월읍 애납로 175 1층,33.4403995,126.3279618,0
204,소보리당로222,제주특별자치도 서귀포시 소보리당로 222,33.2629497,126.3833788,0
205,픽스커피 본점,제주특별자치도 제주시 신설로11길 2 1층,33.4912804,126.5445739,3
206,카페곁에,제주특별자치도 제주시 구좌읍 동복로3길 9 1층,33.5535419,126.7131756,1
207,어니스트밀크 본점,제주특별자치도 서귀포시 성산읍 중산간동로 3147-7,33.4519403,126.8783149,1
208,카페월령,제주특별자치도 제주시 한림읍 월령3길 36 나동 1층,33.3787506,126.2168357,0
209,비자블라썸,제주특별자치도 제주시 구좌읍 비자림로 2244 1층,33.467852,126.7724183,1
210,블루마운틴 4255,제주특별자치도 서귀포시 성산읍 중산간동로 4255,33.4119114,126.8416603,1
211,토끼문,제주특별자치도 제주시 구좌읍 해맞이해안로 456 1~3층,33.5291668,126.8538817,1
212,봉꾸라주,제주특별자치도 서귀포시 신서로48번길 5 1층,33.2531585,126.5097338,2
213,고요새,제주특별자치도 제주시 선사로8길 11,33.5271456,126.5895044,3
214,스타벅스 제주삼화DT점,제주특별자치도 제주시 연삼로 884,33.5011704,126.5402581,3
215,에이바우트커피뷰 하귀포구점,제주특별자치도 제주시 애월읍 하귀12길 21-2,33.4864408,126.408477,3
216,매기의추억,제주특별자치도 제주시 한림읍 한림해안로 595,33.4257892,126.2673117,0
217,카페인사리,제주특별자치도 제주시 구좌읍 일주동로 2806 2동 2층,33.5314441,126.8206181,1
218,카페동경앤책방,제주특별자치도 제주시 애월읍 하귀로 74 2층,33.4813428,126.4049209,3
219,김녕에사는김영훈,제주특별자치도 제주시 구좌읍 김녕로6길 2 1층,33.5542572,126.7464175,1
220,네이처캔버스,제주특별자치도 서귀포시 남원읍 중산간동로 7129,33.2830648,126.6308443,2
221,큐티파이카페,제주특별자치도 제주시 애월읍 애월해안로 610,33.4778706,126.3688144,0
222,고미미,제주특별자치도 제주시 북성로 67 1층,33.515311,126.5177481,3
223,여섯번의보름,제주특별자치도 서귀포시 호근남로5번길 14-5,33.2569606,126.5304828,2
224,쉬어갓,제주특별자치도 서귀포시 성산읍 일주동로 5023 1층,33.3861559,126.8824321,1
225,노론존,제주특별자치도 제주시 도령로 50 2층,33.4884319,126.4841582,3
226,카페어떤오후,제주특별자치도 제주시 애월읍 상가북6길 13 1층,33.4511382,126.3458599,0
227,카페폴린,제주특별자치도 서귀포시 칠십리로 194 1층,33.2458603,126.5913123,2
228,리듬앤브루스,제주특별자치도 제주시 무근성7길 11,33.5138019,126.5198694,3
229,소라의성,제주특별자치도 서귀포시 칠십리로214번길 17-17,33.2451858,126.5770041,2
230,헤이브라더,제주특별자치도 서귀포시 안덕면 형제해안로 72,33.2272202,126.3028716,0
231,스타벅스 제주서해안로DT점,제주특별자치도 제주시 서해안로 624,33.5167857,126.5035553,3
232,카페아오오,"제주특별자치도 서귀포시 성산읍 환해장성로 75 1,2층",33.4121987,126.9047711,1
233,리틀포레스트,제주특별자치도 서귀포시 월평로 15,33.2448621,126.4592692,0
234,카페코지,제주특별자치도 서귀포시 성산읍 한도로 200 2층,33.467855,126.9239401,1
235,트라이브,제주특별자치도 제주시 애월읍 애월로 11,33.4600513,126.3113009,0
236,롱리브,제주특별자치도 제주시 아란3길 13-3 아라지엘지 1층 102호,33.4730594,126.7833092,1
237,카페미와,제주특별자치도 제주시 구좌읍 구좌로 51-1 2층,33.5231921,126.8571638,1
238,다린,제주특별자치도 서귀포시 법환로 11,33.239117,126.5096143,2
239,도바나,제주특별자치도 서귀포시 남원읍 태위로 177,33.2755242,126.6665596,2
240,도을,제주특별자치도 제주시 조천읍 와흘리 125,33.4735321,126.6571882,3
241,60빈스,제주특별자치도 서귀포시 태평로120번길 29-2,33.2415408,126.5367032,2
242,꼬스뗀뇨,제주특별자치도 제주시 구좌읍 해맞이해안로 2080,33.5291668,126.8538817,1
243,오라디오라,제주특별자치도 서귀포시 안덕면 사계로114번길 54-102 2층,33.2424536,126.3049147,0
244,트로피컬하이드어웨이 브런치카페,제주특별자치도 서귀포시 대정읍 형제해안로 284,33.210157,126.2914269,0
245,스테이솔티,제주특별자치도 제주시 구좌읍 해맞이해안로 480-1,33.5291668,126.8538817,1
246,아라파파 북촌점,제주특별자치도 제주시 조천읍 북촌15길 60,33.5512758,126.6966665,1
247,차귀놀,제주특별자치도 제주시 한경면 한경해안로 136 1층,33.3328723,126.1697983,0
248,스타벅스 서귀포올레점,제주특별자치도 서귀포시 중정로 69 동명백화점,33.2483213,126.56384,2
249,코데인커피로스터스,제주특별자치도 서귀포시 안덕면 사계북로 76,33.2355381,126.2966466,0
250,카페빠네띠에,제주특별자치도 제주시 신설로9길 25,33.4943566,126.546782,3
251,단정한까페,제주특별자치도 제주시 서광로28길 54 2층,33.4967947,126.5292529,3
252,우연히그곳,제주특별자치도 제주시 구좌읍 중산간동로 2250 1층,33.4717055,126.7829178,1
253,제주901,제주특별자치도 제주시 1100로 2977-10,33.4525954,126.4861329,3
254,비양놀,제주특별자치도 제주시 한림읍 한림해안로 311,33.4257892,126.2673117,0
255,엘리사,제주특별자치도 제주시 애월읍 가문동상2길 28 1층,33.4853633,126.3906957,0
256,카페루핀,제주특별자치도 서귀포시 대정읍 형제해안로 272 1층,33.210157,126.2914269,0
257,스타벅스 제주에듀시티점,제주특별자치도 서귀포시 대정읍 에듀시티로 36,33.279349,126.2763069,0
258,간이옥돔역 (휴업중),제주특별자치도 서귀포시 남원읍 남태해안로 484,33.2852399,126.7497344,2
259,디뷰,제주특별자치도 제주시 노형7길 9-16,33.4869795,126.4837154,3
260,수카사,제주특별자치도 제주시 구좌읍 행원로9길 11,33.5540841,126.8082228,1
261,꽃향유,제주특별자치도 제주시 애월읍 고하상로 101,33.4466947,126.3539724,0
262,미미슈,제주특별자치도 제주시 애월읍 중산간서로 5534,33.4408533,126.3302239,0
263,하늘꽃카페,제주특별자치도 서귀포시 대정읍 송악관광로 317,33.2164826,126.2768451,0
264,유스커피,제주특별자치도 제주시 구산로 54,33.48433,126.5407264,3
265,거인의정원,제주특별자치도 제주시 대원길 58,33.4718426,126.5353245,3
266,제이아일랜드카페,제주특별자치도 서귀포시 성산읍 환해장성로 69 1층,33.4121987,126.9047711,1
267,이공팔오,제주특별자치도 제주시 조천읍 선교로 185 (선흘리 2085번지),33.4727191,126.7061921,1
268,올디벗구디,제주특별자치도 서귀포시 일주서로 330,33.2529537,126.4735857,2
269,카페갤러리,제주특별자치도 제주시 조천읍 남조로 1717-24,33.42215,126.6753634,3
270,피플카페,제주특별자치도 제주시 조천읍 신촌북3길 58,33.5379267,126.6138836,3
271,카페원웨이,제주특별자치도 제주시 한경면 일주서로 4459-4,33.3414039,126.1898997,0
272,걸어가는늑대들 전이수갤러리,제주특별자치도 제주시 조천읍 조함해안로 556,33.5426397,126.6724147,3
273,하우스레서피 당근케이크,제주특별자치도 제주시 한림읍 일주서로 5892,33.4437646,126.2955203,0
274,애월후식,제주특별자치도 제주시 애월읍 납읍로 21 1층,33.4389732,126.3302631,0
275,레이지박스,제주특별자치도 서귀포시 안덕면 산방로 208,33.2364205,126.3129475,0
276,효은양갱,제주특별자치도 서귀포시 안덕면 덕수회관로 14,33.2529814,126.3150833,0
277,리유니온,제주특별자치도 제주시 신성로13길 32 1층 주차장 왼편,33.4975004,126.5304472,3
278,귤당리,"제주특별자치도 제주시 한경면 일주서로 4492 1,2층",33.3414039,126.1898997,0
279,너는파라다이스길리,제주특별자치도 제주시 구좌읍 월정1길 65,33.5566513,126.7937413,1
280,그루브,제주특별자치도 제주시 한림읍 한림로 333 1~3층,33.3937225,126.240025,0
281,몽그레 월정리점,제주특별자치도 제주시 구좌읍 해맞이해안로 400,33.5291668,126.8538817,1
282,감저,제주특별자치도 서귀포시 대정읍 대한로 22,33.2296929,126.2452997,0
283,메이비,제주특별자치도 서귀포시 이중섭로 34,33.2449997,126.5643448,2
284,카페 제주동네,제주특별자치도 제주시 구좌읍 종달로5길 23,33.4931436,126.8989816,1
