place,insta,Naver_rate,Naver_review_num
뚱보아저씨,"2,637",4.47,1460
도두반점제주사수본점,12,4.33,1155
형돈,"2,618",4.49,559
연미정,"11,849",4.46,659
제주김만복성산점,235,4.52,327
덕승식당,"4,523",4.32,688
백리향,"15,013",0.0,0
한라전복(본점),0,0.0,0
제갈양,"5,091",4.56,1521
연북로해물탕,"1,433",4.48,453
짱구분식,"8,221",0.0,0
만선식당,"11,777",4.41,1138
인디언키친,"2,516",4.52,949
산방산초가집,"2,583",4.6,749
문개항아리애월점,567,4.82,6820
숙성도중문점,"3,077",4.44,3457
해심가든,"4,603",0.0,739
모이세해장국본점,216,0.0,0
곤밥2,"1,506",4.59,1447
임금님밥상,"2,904",4.27,680
춘미향식당,"2,071",4.47,743
제주고집,"2,858",4.71,2075
제주올래국수,"1,976",4.41,272
스시도모다찌제주점,12,4.43,851
옥돔식당,"5,681",4.38,1221
돈향기,"5,113",4.61,1515
제주곰집,"16,599",4.54,2448
칠돈가표선직영점,154,0.0,1167
순풍해장국함덕본점,0,0.0,0
옹포바다횟집,"3,468",4.53,423
범일분식,"3,387",4.36,590
제주곱,"3,861",4.52,311
커큐민흑돼지,"5,843",4.45,983
글라글라하와이,"6,978",4.54,776
짬뽕에취한날,"4,907",4.37,687
이스트포레스트,"5,760",4.5,1400
더스푼,"6,569",4.65,1026
김녕오라이,"8,113",4.73,582
흑돼지패밀리,808,4.55,381
센트로,"5,866",4.68,394
제주해물밥,"5,671",4.31,354
성산갈치조림순덕이네,10,0.0,502
섭지코지해녀밥상,621,4.42,225
강식당,"50,268",0.0,416
뚱딴지,"6,326",0.0,0
알동네집,"2,374",4.52,671
중문색달통갈치,"1,299",4.84,2194
윤옥,"9,698",4.57,645
돈고팡본점,692,4.51,626
돈카츠서황,"1,378",4.45,427
삼성혈해물탕1호점,32,4.43,276
한라전복성산본점,4,4.63,514
화성식당,"2,134",4.41,522
해월정서귀포점,"2,219",4.36,1319
하하호호우도본점,29,0.0,0
어조횟집,"2,335",4.4,572
올레마당,"1,337",4.7,2624
서광보말칼국수,"11,061",4.25,835
두툼한고기돈돼지,"1,130",4.6,527
올레삼다정,"1,774",4.66,880
중문그때그집,563,4.76,948
어박사한림본점,13,4.55,1481
임순이네,"1,044",4.62,667
칠돈가제주공항직영점,28,4.51,659
천리식당천리민박,0,4.43,321
꽃가람,"6,392",4.52,1143
요기소바본점,0,4.35,289
용담밭담,929,4.63,877
제주오누이,"3,711",0.0,0
성산흑돼지두루치기,"1,452",4.49,553
삼다도횟집본점,401,4.39,422
귤품은흑돼지제주공항점,0,4.58,1753
원조마라도짜장면집,452,4.21,1135
돈사돈월정점,582,0.0,719
동복뚝배기,"3,151",4.59,718
오전열한시,"13,813",4.48,1036
회춘,"39,201",0.0,0
종달수다뜰,"4,013",4.38,918
애월연어,"3,637",0.0,0
교래흑돼지본점,357,4.61,501
바로족발보쌈,607,4.43,392
도민상회,"20,135",0.0,0
뜰에,"13,322",0.0,0
제일수산횟집,979,4.44,211
삼대전통고기국수,200,4.23,154
대춘해장국노형점,147,4.48,799
장모식탁,"1,023",4.59,867
수영밥상본점,19,4.69,294
탐라가든,"1,067",4.4,529
달이뜨는식탁,"28,202",4.63,994
맨도롱해장국,685,4.39,757
섬소나이,"21,677",4.59,1865
제주선채향,"1,168",4.66,1206
흑돼지제주정,"1,606",4.67,1064
참맛나김밥,"2,671",4.43,744
그리운바다성산포,"7,180",4.54,1213
담다,"52,613",0.0,0
희야국수,506,4.55,344
까망돼지서귀포점,"1,379",4.67,2685
중문신라원,"1,144",4.38,947
스시도모다찌칠성점,316,4.5,815
오멍가멍흑돼지본점,5,4.64,1267
흑본오겹함덕점,251,4.62,948
선흘방주할머니식당,860,4.45,743
모메존흑돼지,"1,113",0.0,600
스시권,"1,136",4.33,362
영빈횟집,"1,332",4.86,1043
용두암오메기떡,640,0.0,0
다미진횟집,"1,587",4.84,1024
수복강녕,"2,950",4.71,359
오가네전복설렁탕함덕점,334,4.6,1880
천돈가,"3,950",4.77,1845
운산식당,888,0.0,0
만지식당,"5,221",4.43,277
한라축산정육식당,"2,340",0.0,0
마마무말가든,353,4.58,408
용꽈배기,"3,925",4.45,552
고미,"31,970",4.38,191
성읍칠십리식당,"3,384",4.33,895
한라산아래첫마을,"6,151",0.0,0
연리지가든,"1,358",4.36,261
돌하르방식당본점,0,0.0,0
연탄과친한돼지,570,4.79,884
함쉐프키친,"4,165",4.47,710
갈치공장,"1,238",4.71,801
청파식당횟집,"1,420",4.7,751
해비치호텔앤리조트제주이디,0,0.0,0
캠퍼트리호텔앤리조트더뷰,0,0.0,0
황가네뚝배기,56,4.19,180
씨에스호텔씨에스다이닝,0,0.0,0
포도호텔레스토랑,890,4.73,79
씨에스호텔카노푸스다이닝,0,4.38,201
