,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
61,스타벅스제주용담DT점,3.7,84,0,a,0.0
62,빠빠라기신제주점,4.5,37,22,"['방문자리뷰 608', '블로그리뷰 202', '순수 초코 빙수', '순수 녹차 빙수', '요거트 빙수(중,대)', '팥빙수(중)']",4.51
63,두갓,4.8,42,"3,198","['방문자리뷰 406', '블로그리뷰 414', '아메리카노', '플랫화이트', '제주보리라떼', '뱌라멜라떼']",4.59
64,그러므로파트2,4.1,56,338,"['방문자리뷰 976', '블로그리뷰 934', '메리하하', '레몬차', '진저라떼', '플랫화이트']",4.47
65,트라인커피,4.3,69,"7,721","['방문자리뷰 508', '블로그리뷰 475', '아메리카노', '크림롱블랙', '하겐다즈아몬드아포가토']",4.46
66,카페바나나함덕점,4.5,90,362,"['방문자리뷰 1,857', '블로그리뷰 788']",4.75
67,프로젝트064다방,4.2,53,"1,634","['방문자리뷰 150', '블로그리뷰 228', '블랙포크스피니치피자', '마약옥수수']",0.0
68,앨리스,4.4,65,"245,498",a,0.0
69,카페콜라,4.2,60,"13,732","['방문자리뷰 712', '블로그리뷰 1,050', '커피콕', '고르곤졸라피자', '에스프레소', '아메리카노']",4.46
70,카페동백,4.0,28,"13,552","['방문자리뷰 369', '블로그리뷰 451', '부드럽고 촉촉한 동백 티라미수', '쫀득쫀득 동백 치즈케익', '아메리카노', '카페봉봉']",4.52
71,스테이위드커피,4.4,75,"4,767","['방문자리뷰 637', '블로그리뷰 413']",4.52
72,수마,4.7,107,"1,846","['방문자리뷰 441', '블로그리뷰 390']",0.0
73,그초록,4.3,85,"13,891","['방문자리뷰 774', '블로그리뷰 695']",4.55
74,카페노티드제주애월,3.5,160,170,"['방문자리뷰 12,484', '블로그리뷰 3,566']",4.46
75,코코티에,4.1,59,"2,733","['방문자리뷰 1,193', '블로그리뷰 484', '솔티카라멜라떼', '백향과에이드', '제주그린프라페', '제주생애플망고주스']",4.34
76,망고홀릭제주본점,4.5,50,405,"['방문자리뷰 506', '블로그리뷰 324', '신선로 눈꽃빙수(망고코코넛)', '망고홀릭 생망고 디저트', '오리지널 생망고 쉐이크', '아메리카노']",4.49
77,다소니,4.2,35,"14,510",a,0.0
78,요요무문,4.3,78,"8,689","['방문자리뷰 355', '블로그리뷰 461']",4.46
79,스타벅스제주함덕점,4.0,97,531,"['방문자리뷰 7,795', '블로그리뷰 928']",4.44
80,블루보틀제주카페,3.8,89,51,"['방문자리뷰 3,857', '블로그리뷰 1,905', '메뉴판 전체보기']",4.54
81,1158족욕카페,4.8,19,358,"['방문자리뷰 395', '블로그리뷰 366', '족욕&아메리카노(HOT)', '족욕&한라봉에이드', '족욕&아메리카노(ICE)', '족욕&보이차']",4.62
82,그계절,3.8,48,"22,235","['방문자리뷰 660', '블로그리뷰 1,170', '아에리카노', '카페라떼', '바닐라라떼', '카푸치노']",4.48
83,텐저린카페,4.2,61,"3,256","['방문자리뷰 3,012', '블로그리뷰 694', '아메리카노', '아인슈페너', '제주말차라떼', '얼그레이']",4.63
84,말로,4.2,46,"13,055",a,0.0
85,마노커피하우스,4.8,140,"1,659","['방문자리뷰 302', '블로그리뷰 199']",4.76
86,서귀피안,3.5,23,"11,318",a,0.0
87,엘파소,4.5,31,"7,847","['방문자리뷰 1,710', '블로그리뷰 534']",4.83
