,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
72,남강여관,3.7,3,0,"['방문자리뷰 2', '블로그리뷰 1']",0.0
73,모슬포2호텔,5.0,7,0,"['방문자리뷰 99', '블로그리뷰 3']",4.88
74,월정여관,5.0,2,469,"['방문자리뷰 370', '블로그리뷰 19']",4.96
75,글로리스테이,5.0,2,0,"['방문자리뷰 2', '웹사이트', '모두']",0.0
76,오렌지,4.0,1,"457,103",a,0.0
77,별관모텔,5.0,1,0,a,0.0
78,셀라모텔,5.0,3,0,['방문자리뷰 9'],0.0
79,조아모텔,4.5,2,3,"['방문자리뷰 4', '블로그리뷰 19']",0.0
80,한두모텔,4.5,4,0,['방문자리뷰 1'],0.0
81,퀸호텔,5.0,1,11,"['방문자리뷰 3', '블로그리뷰 1']",0.0
82,모텔준,5.0,1,0,a,0.0
83,상하이호텔,4.0,1,"1,323","['방문자리뷰 40', '블로그리뷰 120', '네이버예약']",3.99
84,송원모텔,5.0,1,0,a,0.0
85,만금장,5.0,1,0,a,0.0
86,미미여관,4.0,1,0,a,0.0
87,힐링하우스,5.0,1,"9,575",a,0.0
88,나인하우스,4.0,1,510,a,0.0
89,브라보,4.5,2,"32,278","['방문자리뷰 218', '블로그리뷰 80']",4.54
90,수모텔,4.0,1,"1,497","['방문자리뷰 3', '블로그리뷰 4']",0.0
91,폭포장모텔,4.0,1,0,['방문자리뷰 7'],0.0
92,만복모텔,4.0,1,0,a,0.0
93,대정모텔,4.7,3,7,a,0.0
94,너랑나랑게스트하우스,4.8,9,281,"['방문자리뷰 200', '블로그리뷰 23', '블로그']",4.81
