place,insta,Naver_rate,Naver_review_num
스타벅스제주노형공원점,43,4.47,2279
카페세바,"19,573",4.49,85
하소로커피,"3,511",4.58,284
동백정원,"4,451",0.0,0
카페더라이트,"10,234",4.53,1016
색달로망스,"2,395",4.64,216
카페두가시,"3,539",4.56,177
카페2472,939,4.48,182
"오른(orrrn,오알엔)",0,0.0,0
살롱드라방,"24,622",4.63,305
노을리카페,"3,700",4.64,1886
모찌롱(휴업중),0,0.0,0
카페오드리,"3,826",0.0,148
블루모모,"1,788",4.67,144
카페훤,"2,013",4.45,302
카페살레,"2,594",4.55,943
오늘도화창,"5,993",4.63,353
제주몹시,"2,079",4.54,245
카페송키,"2,833",0.0,111
리치망고애월본점,751,4.46,1845
에이바우트커피신라신성점,0,4.48,1146
위더스트래블아라점,177,0.0,305
투썸플레이스제주애월한담점,121,4.33,3866
쉬리니케이크,"3,974",4.61,248
소보리당로222,"6,262",4.7,296
픽스커피본점,0,0.0,0
카페곁에,"2,989",4.69,72
어니스트밀크본점,554,4.62,910
카페월령,"3,083",0.0,0
비자블라썸,"2,055",4.6,480
블루마운틴4255,126,0.0,0
토끼문,"1,340",4.38,987
봉꾸라주,"1,914",4.4,142
고요새,"5,244",4.6,824
스타벅스제주삼화DT점,0,4.51,2147
에이바우트커피뷰하귀포구점,39,4.4,960
매기의추억,"5,236",4.41,278
카페인사리,"2,232",4.64,213
카페동경앤책방,"1,314",4.61,179
김녕에사는김영훈,"1,844",4.75,280
네이처캔버스,"2,038",4.73,346
큐티파이카페,"1,949",4.42,761
고미미,"2,198",4.42,406
여섯번의보름,"8,057",4.5,281
쉬어갓,"5,346",4.63,486
노론존,"1,003",4.58,159
카페어떤오후,"4,201",4.57,66
카페폴린,"1,246",4.55,263
리듬앤브루스,"2,668",0.0,0
소라의성,"1,381",0.0,0
헤이브라더,"5,397",4.29,234
스타벅스제주서해안로DT점,0,0.0,0
카페아오오,"3,017",4.41,1513
리틀포레스트,"221,254",0.0,0
카페코지,"16,150",4.35,342
트라이브,"4,619",0.0,0
롱리브,"4,961",4.56,108
카페미와,"2,745",4.69,455
다린,"10,939",4.57,331
도바나,618,0.0,0
도을,"1,326",0.0,261
60빈스,525,4.35,740
꼬스뗀뇨,"5,672",0.0,968
오라디오라,"1,767",4.41,335
트로피컬하이드어웨이브런치카페,19,4.49,76
스테이솔티,"1,674",4.4,462
아라파파북촌점,241,0.0,0
차귀놀,"1,119",4.47,236
스타벅스서귀포올레점,21,0.0,836
코데인커피로스터스,"1,219",4.64,124
카페빠네띠에,718,4.55,376
단정한까페,"1,014",4.64,108
우연히그곳,"4,495",0.0,5
제주901,"4,125",0.0,27
비양놀,"3,927",4.59,613
엘리사,"8,435",0.0,0
카페루핀,"3,709",4.83,136
스타벅스제주에듀시티점,15,4.44,1432
간이옥돔역(휴업중),0,0.0,0
디뷰,619,4.9,202
수카사,"5,902",0.0,0
꽃향유,"9,209",0.0,0
미미슈,"3,699",0.0,569
하늘꽃카페,"1,651",4.54,728
유스커피,"4,090",4.6,144
거인의정원,"3,889",4.51,112
제이아일랜드카페,"1,520",4.65,274
이공팔오,501,0.0,410
올디벗구디,"3,498",4.65,184
카페갤러리,"8,307",0.0,88
피플카페,972,4.39,374
카페원웨이,"6,261",4.65,243
걸어가는늑대들전이수갤러리,0,4.9,1734
하우스레서피당근케이크,357,4.2,375
애월후식,"1,956",0.0,219
레이지박스,"3,293",4.45,209
효은양갱,"10,166",4.37,255
리유니온,"6,083",4.26,106
귤당리,"1,429",4.86,981
너는파라다이스길리,"10,289",4.66,295
그루브,"167,403",0.0,0
몽그레월정리점,38,0.0,624
감저,814,0.0,0
메이비,"21,901",0.0,0
카페제주동네,844,4.64,246
헬로남생이,"1,566",4.37,380
탐앤탐스신제주점,0,4.35,303
밀팟제주,357,0.0,92
브릭스제주,"8,124",4.7,13
카페소금,"3,269",4.51,250
카페갤럭시아,"1,695",4.69,1111
제주함덕카페라라떼커피,0,0.0,336
꼬라지오,"2,047",4.87,719
인터포레스트,"1,064",4.74,367
미리로,254,4.56,359
컴컴제주,"3,383",4.44,222
네꼬야티하우스,"1,360",4.45,217
스타벅스신제주이마트점,37,4.46,2200
카페파람,"1,578",4.42,53
공생,"15,407",0.0,0
카페마니,"21,029",4.57,264
카페뚜이,"1,592",4.58,296
카페팀블로우,709,4.57,548
히아담,"2,168",0.0,118
트라이브신창점,21,0.0,13
커핏,682,0.0,0
어반정글그레이밤부,"2,030",0.0,631
슬로보트아뜰리에,"1,086",4.69,526
윤재커피,"1,345",4.9,472
니나수족욕카페,308,4.65,79
니모스토리,"2,080",4.83,297
로스트&헤븐,0,0.0,0
카페책자국,"1,917",4.59,105
꽁떼네도르,"2,165",0.0,0
카페오놀,"1,050",0.0,365
식빵가게,855,0.0,0
토토네,"3,634",0.0,0
화수목,"19,278",0.0,0
베터플랫,277,4.49,83
안녕토르,"1,826",4.63,87
토끼썸,"5,011",4.55,131
오후다섯시두가지착각조차도,"1,966",4.59,644
카페이시도르,"1,161",4.56,512
에이바우트커피삼무공원점,18,4.33,562
관심사,"31,889",0.0,126
게우지코지인갤러리커피하우스,0,0.0,0
왓섬,"2,290",4.54,97
페어리제주,"2,072",4.43,251
폴바셋제주아라DT점,0,4.45,3527
해거름전망대카페,452,4.72,156
주네가네키친앤카페,468,0.0,0
픽스커피화북공단점,0,0.0,0
술의식물원,"2,357",4.59,178
88로스터즈,339,4.72,146
플레이커피랩,"3,064",4.52,179
오르바,"1,288",4.56,822
바미아일랜드,"2,807",4.42,633
보라지붕,"2,191",4.85,1308
폴바셋제주용담DT점,0,0.0,1059
커피가게쉬고가게,879,0.0,244
카페쌀쌀,"2,725",4.46,419
초가헌,"1,442",4.53,338
도리화과,"3,009",0.0,125
