,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
62,오시록헌PM,4.9,7,0,"['방문자리뷰 61', '블로그리뷰 32', '블로그', '모두', '웹사이트']",4.9
63,조이빌리조트,5.0,5,33,"['방문자리뷰 7', '블로그리뷰 31']",0.0
64,애월파라다이스,4.5,4,955,a,0.0
65,사조리조트제주지점,4.0,1,0,"['방문자리뷰 2', '블로그리뷰 12']",0.0
66,송당송당펜션&리조트,4.2,5,0,a,0.0
67,블루펄리조트,5.0,2,16,"['방문자리뷰 35', '블로그리뷰 21']",4.01
68,더시에나리조트(2023년5월예정),5.0,2,0,a,0.0
69,제주캐슬마운틴리조트,5.0,1,0,a,0.0
70,인피니티리조트,5.0,1,280,a,0.0
71,벙커호텔앤리조트,5.0,1,0,['블로그리뷰 5'],0.0
72,벨라비타,5.0,1,"4,920",a,0.0
73,함덕리조텔,5.0,1,0,a,0.0
