,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
57,티라호텔,4.5,42,303,"['방문자리뷰 288', '블로그리뷰 148', '네이버예약']",4.6
58,이스턴호텔제주,3.5,18,0,"['방문자리뷰 245', '블로그리뷰 110', '웹사이트']",4.45
59,제주갤럭시호텔,4.8,12,24,"['방문자리뷰 77', '블로그리뷰 38']",4.18
60,스카이호텔,4.2,20,"1,003","['방문자리뷰 144', '블로그리뷰 20', '네이버예약', '인스타그램']",4.1
61,팜파스호텔제주,3.6,30,108,"['방문자리뷰 107', '블로그리뷰 247']",4.27
62,제주스테이인성산,3.5,31,42,"['방문자리뷰 373', '블로그리뷰 180', '네이버예약']",4.38
63,루체빌,4.1,7,321,"['방문자리뷰 567', '블로그리뷰 245', '네이버예약']",4.33
64,브릿지레지던스호텔,4.4,16,66,"['방문자리뷰 114', '블로그리뷰 70', '네이버예약', '인스타그램', '페이스북']",4.44
65,하버호텔,4.6,19,253,"['방문자리뷰 194', '블로그리뷰 74', '네이버예약']",4.48
66,호텔휴안스테이,3.8,21,0,"['방문자리뷰 98', '블로그리뷰 77', '네이버예약']",4.48
67,어반스테이제주연동,4.1,9,0,"['방문자리뷰 37', '블로그리뷰 90', '네이버예약', '페이스북', '인스타그램']",0.0
68,신신호텔천지연,3.5,76,201,"['방문자리뷰 250', '블로그리뷰 198', '네이버예약']",4.2
69,호텔엘린,5.0,25,0,['방문자리뷰 9'],0.0
70,서귀포KAL호텔,4.1,58,0,a,0.0
71,에코랜드호텔,3.9,8,"2,858","['방문자리뷰 115', '블로그리뷰 182', '객실 예약하기']",0.0
72,호텔징크,4.0,4,18,"['방문자리뷰 29', '블로그리뷰 65', '네이버예약']",5
73,호텔화인제주,4.1,7,48,"['방문자리뷰 48', '블로그리뷰 82', '네이버예약', '제주화인호텔', '인스타그램']",4.69
74,피노호텔,4.6,36,225,a,0.0
75,제주썬호텔&카지노,5.0,2,0,a,0.0
76,호텔스카브로,4.2,12,595,"['방문자리뷰 37', '블로그리뷰 95', '모두']",4.36
77,이화호텔,3.5,15,368,"['방문자리뷰 3', '블로그리뷰 2']",0.0
