,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
128,추자도,4.4,19,25360,14,4.22
129,닭머르,4.5,37,8704,0,0.0
130,박수기정,4.3,35,31657,3,0.0
131,어승생,4.7,35,766,0,0.0
132,혼인지,4.7,43,19505,2,0.0
133,액티브파크,4.4,28,3535,3143,4.62
134,하도해변,4.3,30,0,0,0.0
135,삼성혈,4.0,53,16881,1381,4.48
136,붉은오름자연휴양림,3.7,19,8869,613,4.47
137,지미봉,4.5,77,31673,2,0.0
138,제주코코몽에코파크,3.6,19,6100,4215,4.3
139,물영아리,4.4,48,2594,0,0.0
140,일출랜드,3.5,31,22647,2305,4.29
141,별방진,4.3,18,9704,0,0.0
142,마방목지,4.0,30,12252,0,0.0
143,엉덩물계곡,4.0,35,11658,0,0.0
144,동백동산,4.4,17,11718,523,0.0
145,백록담,4.8,45,174907,1732,0.0
146,용연계곡,4.5,15,3717,2,0.0
147,하례감귤체험농장,4.7,93,3316,3137,0.0
148,곶자왈,3.9,12,46702,0,0.0
149,한라산국립공원관음사탐방로,5.0,12,0,0,0.0
150,서귀다원,3.6,97,10526,0,0.0
151,유채꽃프라자,4.3,19,8874,0,0.0
152,검멀레해변,4.5,54,43705,39,4.37
153,우도산호해변,4.6,48,1299,0,0.0
154,수월봉전망대,4.1,16,1500,0,0.0
155,산양큰엉곶,4.0,14,6644,553,0.0
156,닭머르해안길1코스,4.5,11,0,0,0.0
157,삼다수숲길,4.3,20,5884,0,0.0
158,한라산성판악탐방안내소,4.8,6,0,0,0.0
159,알뜨르비행장,4.6,24,0,0,0.0
160,상가리야자숲,3.7,15,5017,0,0.0
161,신창풍차해안,4.6,50,9739,326,0.0
162,수월봉지질트레일,3.9,8,0,0,0.0
163,돈내코유원지,4.3,19,2760,4,0.0
164,수산봉,4.0,20,7007,2,0.0
165,평대리해수욕장,4.5,27,3124,0,0.0
166,머체왓숲길방문객지원센터,4.6,21,0,0,0.0
167,5.16도로숲터널,4.5,13,0,266,0.0
168,아끈다랑쉬오름,4.6,27,12989,0,0.0
169,방림원,4.3,29,5355,779,4.38
170,제주유채꽃도로,4.4,37,0,0,0.0
171,큰노꼬메오름,4.9,63,3680,1,0.0
172,황우지선녀탕,4.1,69,12257,0,0.0
173,영주산,4.5,33,8548,479,0.0
174,오늘은카트레이싱,3.6,10,1237,1059,4.26
175,하고수동해변,4.8,51,6498,10,4.83
176,흑돼지거리,3.5,4,9474,135,0.0
177,제주올레여행자센터,4.2,32,2044,0,0.0
178,태웃개,4.2,9,2920,0,0.0
179,신화워터파크,3.6,18,7585,2312,4.19
180,용담해안도로,4.5,13,63912,0,0.0
181,엉알해안,4.6,29,2820,108,0.0
182,세리월드,3.8,22,4300,2983,4.11
183,위미동백나무군락,3.5,20,1050,0,0.0
184,문도지오름,4.6,44,8724,0,0.0
185,신양섭지해수욕장,3.7,22,3001,11,4.17
186,차귀도,4.6,13,60707,2,0.0
187,소정방폭포,4.2,30,5116,505,0.0
188,새별프렌즈,4.2,56,2140,701,4.17
189,사려니숲길관광안내소,4.7,15,0,0,0.0
190,종달리해변,4.3,9,2853,1,0.0
191,고근산,4.6,25,6458,487,0.0
192,사라오름,4.9,22,0,2,0.0
193,송당무끈모루,4.1,19,10422,0,0.0
194,성읍랜드,4.8,62,13391,1040,4.68
195,제주목관아,4.3,24,5100,353,4.33
196,한라산,4.7,81,1070213,217,4.47
197,하효쇠소깍해변,4.4,20,1066,80,0.0
198,강정천,4.8,6,6413,0,0.0
199,종달리수국길,3.8,19,17321,0,0.0
200,금능석물원,4.7,30,1824,165,4.33
201,민오름,4.2,19,4343,0,0.0
202,산물관광농원,4.8,19,104,608,0.0
203,한남리머체왓숲길,4.2,13,20,0,0.0
204,몽돌해변,3.5,12,51820,0,0.0
205,세기알해변,4.9,10,3622,0,0.0
206,오저여,4.7,48,1774,130,0.0
207,당산봉,4.8,23,6523,0,0.0
208,저지예술인마을,4.0,5,7210,0,0.0
209,붉은오름,4.2,6,15996,0,0.0
210,짱구네유채꽃밭,3.6,11,18603,11,4.5
211,서귀포천문과학문화관,4.3,9,1028,154,4.43
212,조천만세동산,4.3,4,1486,120,0.0
213,주상절리관광안내소,4.0,1,10,0,0.0
214,제주카페거리,4.5,8,6130,0,0.0
215,비양도망대,3.9,24,18,0,0.0
216,추사유배지,4.0,13,1567,34,0.0
217,사려니숲,5.0,10,44087,3379,0.0
218,도구리알,4.9,14,685,0,0.0
219,신흥해수욕장,4.4,13,0,55,0.0
220,월평마을아왜낭목쉼터,4.5,2,16,0,0.0
221,한라산둘레길수악길,5.0,1,32,0,0.0
222,한라산둘레길사려니숲길,4.1,7,11,0,0.0
